1	Then Job answered the LORD, and said,
Psalm 34:11	Come, you children, listen to me: I will teach you the fear of the LORD.
Psalm 34:12	What man is he that desires life, and loves many days, that he may see good?
Psalm 34:13	Keep your tongue from evil, and your lips from speaking guile.
Psalm 34:14	Depart from evil, and do good; seek peace, and pursue it.
Psalm 34:15	The eyes of the LORD are on the righteous, and his ears are open to their cry.
Psalm 34:16	The face of the LORD is against them that do evil, to cut off the remembrance of them from the earth.
Psalm 34:17	The righteous cry, and the LORD hears, and delivers them out of all their troubles.
Psalm 34:18	The LORD is near to them that are of a broken heart; and saves such as be of a contrite spirit.
Psalm 34:19	Many are the afflictions of the righteous: but the LORD delivers him out of them all.
Psalm 34:20	He keeps all his bones: not one of them is broken.
Psalm 34:21	Evil shall slay the wicked: and they that hate the righteous shall be desolate.
Psalm 34:22	The LORD redeems the soul of his servants: and none of them that trust in him shall be desolate.
Psalm 35:1	Plead my cause, O LORD, with them that strive with me: fight against them that fight against me.
Psalm 35:2	Take hold of shield and buckler, and stand up for my help.
Psalm 35:3	Draw out also the spear, and stop the way against them that persecute me: say to my soul, I am your salvation.
Psalm 35:4	Let them be confounded and put to shame that seek after my soul: let them be turned back and brought to confusion that devise my hurt.
Psalm 35:5	Let them be as chaff before the wind: and let the angel of the LORD chase them.
Psalm 35:6	Let their way be dark and slippery: and let the angel of the LORD persecute them.
Psalm 35:7	For without cause have they hid for me their net in a pit, which without cause they have dig for my soul.
Psalm 35:8	Let destruction come on him at unawares; and let his net that he has hid catch himself: into that very destruction let him fall.
Psalm 35:9	And my soul shall be joyful in the LORD: it shall rejoice in his salvation.
Psalm 35:10	All my bones shall say, LORD, who is like to you, which deliver the poor from him that is too strong for him, yes, the poor and the needy from him that spoils him?
Psalm 35:11	False witnesses did rise up; they laid to my charge things that I knew not.
Psalm 35:12	They rewarded me evil for good to the spoiling of my soul.
Psalm 35:13	But as for me, when they were sick, my clothing was sackcloth: I humbled my soul with fasting; and my prayer returned into my own bosom.
Psalm 35:14	I behaved myself as though he had been my friend or brother: I bowed down heavily, as one that mourns for his mother.
Psalm 35:15	But in my adversity they rejoiced, and gathered themselves together: yes, the attackers gathered themselves together against me, and I knew it not; they did tear me, and ceased not:
Psalm 35:16	With hypocritical mockers in feasts, they gnashed on me with their teeth.
Psalm 35:17	Lord, how long will you look on? rescue my soul from their destructions, my darling from the lions.
Psalm 35:18	I will give you thanks in the great congregation: I will praise you among much people.
Psalm 35:19	Let not them that are my enemies wrongfully rejoice over me: neither let them wink with the eye that hate me without a cause.
Psalm 35:20	For they speak not peace: but they devise deceitful matters against them that are quiet in the land.
Psalm 35:21	Yes, they opened their mouth wide against me, and said, Aha, aha, our eye has seen it.
Psalm 35:22	This you have seen, O LORD: keep not silence: O Lord, be not far from me.
Psalm 35:23	Stir up yourself, and awake to my judgment, even to my cause, my God and my Lord.
Psalm 35:24	Judge me, O LORD my God, according to your righteousness; and let them not rejoice over me.
Psalm 35:25	Let them not say in their hearts, Ah, so would we have it: let them not say, We have swallowed him up.
Psalm 35:26	Let them be ashamed and brought to confusion together that rejoice at my hurt: let them be clothed with shame and dishonor that magnify themselves against me.
Psalm 35:27	Let them shout for joy, and be glad, that favor my righteous cause: yes, let them say continually, Let the LORD be magnified, which has pleasure in the prosperity of his servant.
Psalm 35:28	And my tongue shall speak of your righteousness and of your praise all the day long.
Psalm 36:1	The transgression of the wicked said within my heart, that there is no fear of God before his eyes.
Psalm 36:2	For he flatters himself in his own eyes, until his iniquity be found to be hateful.
Psalm 36:3	The words of his mouth are iniquity and deceit: he has left off to be wise, and to do good.
Psalm 36:4	He devises mischief on his bed; he sets himself in a way that is not good; he abhors not evil.
Psalm 36:5	Your mercy, O LORD, is in the heavens; and your faithfulness reaches to the clouds.
Psalm 36:6	Your righteousness is like the great mountains; your judgments are a great deep: O LORD, you preserve man and beast.
Psalm 36:7	How excellent is your loving kindness, O God! therefore the children of men put their trust under the shadow of your wings.
Psalm 36:8	They shall be abundantly satisfied with the fatness of your house; and you shall make them drink of the river of your pleasures.
Psalm 36:9	For with you is the fountain of life: in your light shall we see light.
Psalm 36:10	O continue your loving kindness to them that know you; and your righteousness to the upright in heart.
Psalm 36:11	Let not the foot of pride come against me, and let not the hand of the wicked remove me.
Psalm 36:12	There are the workers of iniquity fallen: they are cast down, and shall not be able to rise.
Psalm 37:1	Fret not yourself because of evildoers, neither be you envious against the workers of iniquity.
Psalm 37:2	For they shall soon be cut down like the grass, and wither as the green herb.
Psalm 37:3	Trust in the LORD, and do good; so shall you dwell in the land, and truly you shall be fed.
Psalm 37:4	Delight yourself also in the LORD: and he shall give you the desires of your heart.
Psalm 37:5	Commit your way to the LORD; trust also in him; and he shall bring it to pass.
Psalm 37:6	And he shall bring forth your righteousness as the light, and your judgment as the noonday.
Psalm 37:7	Rest in the LORD, and wait patiently for him: fret not yourself because of him who prospers in his way, because of the man who brings wicked devices to pass.
Psalm 37:8	Cease from anger, and forsake wrath: fret not yourself in any wise to do evil.
Psalm 37:9	For evildoers shall be cut off: but those that wait on the LORD, they shall inherit the earth.
Psalm 37:10	For yet a little while, and the wicked shall not be: yes, you shall diligently consider his place, and it shall not be.
Psalm 37:11	But the meek shall inherit the earth; and shall delight themselves in the abundance of peace.
Psalm 37:12	The wicked plots against the just, and gnashes on him with his teeth.
Psalm 37:13	The LORD shall laugh at him: for he sees that his day is coming.
Psalm 37:14	The wicked have drawn out the sword, and have bent their bow, to cast down the poor and needy, and to slay such as be of upright conversation.
Psalm 37:15	Their sword shall enter into their own heart, and their bows shall be broken.
Psalm 37:16	A little that a righteous man has is better than the riches of many wicked.
Psalm 37:17	For the arms of the wicked shall be broken: but the LORD upholds the righteous.
Psalm 37:18	The LORD knows the days of the upright: and their inheritance shall be for ever.
Psalm 37:19	They shall not be ashamed in the evil time: and in the days of famine they shall be satisfied.
Psalm 37:20	But the wicked shall perish, and the enemies of the LORD shall be as the fat of lambs: they shall consume; into smoke shall they consume away.
Psalm 37:21	The wicked borrows, and pays not again: but the righteous shows mercy, and gives.
Psalm 37:22	For such as be blessed of him shall inherit the earth; and they that be cursed of him shall be cut off.
Psalm 37:23	The steps of a good man are ordered by the LORD: and he delights in his way.
Psalm 37:24	Though he fall, he shall not be utterly cast down: for the LORD upholds him with his hand.
Psalm 37:25	I have been young, and now am old; yet have I not seen the righteous forsaken, nor his seed begging bread.
Psalm 37:26	He is ever merciful, and lends; and his seed is blessed.
Psalm 37:27	Depart from evil, and do good; and dwell for ever more.
Psalm 37:28	For the LORD loves judgment, and forsakes not his saints; they are preserved for ever: but the seed of the wicked shall be cut off.
Psalm 37:29	The righteous shall inherit the land, and dwell therein for ever.
Psalm 37:30	The mouth of the righteous speaks wisdom, and his tongue talks of judgment.
Psalm 37:31	The law of his God is in his heart; none of his steps shall slide.
Psalm 37:32	The wicked watches the righteous, and seeks to slay him.
Psalm 37:33	The LORD will not leave him in his hand, nor condemn him when he is judged.
Psalm 37:34	Wait on the LORD, and keep his way, and he shall exalt you to inherit the land: when the wicked are cut off, you shall see it.
Psalm 37:35	I have seen the wicked in great power, and spreading himself like a green bay tree.
Psalm 37:36	Yet he passed away, and, see, he was not: yes, I sought him, but he could not be found.
Psalm 37:37	Mark the perfect man, and behold the upright: for the end of that man is peace.
Psalm 37:38	But the transgressors shall be destroyed together: the end of the wicked shall be cut off.
Psalm 37:39	But the salvation of the righteous is of the LORD: he is their strength in the time of trouble.
Psalm 37:40	And the LORD shall help them, and deliver them: he shall deliver them from the wicked, and save them, because they trust in him.
Psalm 38:1	O lord, rebuke me not in your wrath: neither chasten me in your hot displeasure.
Psalm 38:2	For your arrows stick fast in me, and your hand presses me sore.
Psalm 38:3	There is no soundness in my flesh because of your anger; neither is there any rest in my bones because of my sin.
Psalm 38:4	For my iniquities are gone over my head: as an heavy burden they are too heavy for me.
Psalm 38:5	My wounds stink and are corrupt because of my foolishness.
Psalm 38:6	I am troubled; I am bowed down greatly; I go mourning all the day long.
Psalm 38:7	For my loins are filled with a loathsome disease: and there is no soundness in my flesh.
Psalm 38:8	I am feeble and sore broken: I have roared by reason of the disquietness of my heart.
Psalm 38:9	Lord, all my desire is before you; and my groaning is not hid from you.
Psalm 38:10	My heart pants, my strength fails me: as for the light of my eyes, it also is gone from me.
Psalm 38:11	My lovers and my friends stand aloof from my sore; and my kinsmen stand afar off.
Psalm 38:12	They also that seek after my life lay snares for me: and they that seek my hurt speak mischievous things, and imagine deceits all the day long.
Psalm 38:13	But I, as a deaf man, heard not; and I was as a dumb man that opens not his mouth.
Psalm 38:14	Thus I was as a man that hears not, and in whose mouth are no reproofs.
Psalm 38:15	For in you, O LORD, do I hope: you will hear, O Lord my God.
Psalm 38:16	For I said, Hear me, lest otherwise they should rejoice over me: when my foot slips, they magnify themselves against me.
Psalm 38:17	For I am ready to halt, and my sorrow is continually before me.
Psalm 38:18	For I will declare my iniquity; I will be sorry for my sin.
Psalm 38:19	But my enemies are lively, and they are strong: and they that hate me wrongfully are multiplied.
Psalm 38:20	They also that render evil for good are my adversaries; because I follow the thing that good is.
Psalm 38:21	Forsake me not, O LORD: O my God, be not far from me.
Psalm 38:22	Make haste to help me, O Lord my salvation.
Psalm 39:1	I said, I will take heed to my ways, that I sin not with my tongue: I will keep my mouth with a bridle, while the wicked is before me.
Psalm 39:2	I was dumb with silence, I held my peace, even from good; and my sorrow was stirred.
Psalm 39:3	My heart was hot within me, while I was musing the fire burned: then spoke I with my tongue,
Psalm 39:4	LORD, make me to know my end, and the measure of my days, what it is: that I may know how frail I am.
Psalm 39:5	Behold, you have made my days as an handbreadth; and my age is as nothing before you: truly every man at his best state is altogether vanity. Selah.
Psalm 39:6	Surely every man walks in a vain show: surely they are disquieted in vain: he heaps up riches, and knows not who shall gather them.
Psalm 39:7	And now, Lord, what wait I for? my hope is in you.
Psalm 39:8	Deliver me from all my transgressions: make me not the reproach of the foolish.
Psalm 39:9	I was dumb, I opened not my mouth; because you did it.
Psalm 39:10	Remove your stroke away from me: I am consumed by the blow of your hand.
Psalm 39:11	When you with rebukes do correct man for iniquity, you make his beauty to consume away like a moth: surely every man is vanity. Selah.
Psalm 39:12	Hear my prayer, O LORD, and give ear to my cry; hold not your peace at my tears: for I am a stranger with you, and a sojourner, as all my fathers were.
Psalm 39:13	O spare me, that I may recover strength, before I go hence, and be no more.
Psalm 40:1	I waited patiently for the LORD; and he inclined to me, and heard my cry.
Psalm 40:2	He brought me up also out of an horrible pit, out of the miry clay, and set my feet on a rock, and established my goings.
Psalm 40:3	And he has put a new song in my mouth, even praise to our God: many shall see it, and fear, and shall trust in the LORD.
Psalm 40:4	Blessed is that man that makes the LORD his trust, and respects not the proud, nor such as turn aside to lies.
Psalm 40:5	Many, O LORD my God, are your wonderful works which you have done, and your thoughts which are to us-ward: they cannot be reckoned up in order to you: if I would declare and speak of them, they are more than can be numbered.
Psalm 40:6	Sacrifice and offering you did not desire; my ears have you opened: burnt offering and sin offering have you not required.
Psalm 40:7	Then said I, See, I come: in the volume of the book it is written of me,
Psalm 40:8	I delight to do your will, O my God: yes, your law is within my heart.
Psalm 40:9	I have preached righteousness in the great congregation: see, I have not refrained my lips, O LORD, you know.
Psalm 40:10	I have not hid your righteousness within my heart; I have declared your faithfulness and your salvation: I have not concealed your loving kindness and your truth from the great congregation.
Psalm 40:11	Withhold not you your tender mercies from me, O LORD: let your loving kindness and your truth continually preserve me.
Psalm 40:12	For innumerable evils have compassed me about: my iniquities have taken hold on me, so that I am not able to look up; they are more than the hairs of my head: therefore my heart fails me.
Psalm 40:13	Be pleased, O LORD, to deliver me: O LORD, make haste to help me.
Psalm 40:14	Let them be ashamed and confounded together that seek after my soul to destroy it; let them be driven backward and put to shame that wish me evil.
Psalm 40:15	Let them be desolate for a reward of their shame that say to me, Aha, aha.
Psalm 40:16	Let all those that seek you rejoice and be glad in you: let such as love your salvation say continually, The LORD be magnified.
Psalm 40:17	But I am poor and needy; yet the Lord thinks on me: you are my help and my deliverer; make no tarrying, O my God.
Psalm 41:1	Blessed is he that considers the poor: the LORD will deliver him in time of trouble.
Psalm 41:2	The LORD will preserve him, and keep him alive; and he shall be blessed on the earth: and you will not deliver him to the will of his enemies.
Psalm 41:3	The LORD will strengthen him on the bed of languishing: you will make all his bed in his sickness.
Psalm 41:4	I said, LORD, be merciful to me: heal my soul; for I have sinned against you.
Psalm 41:5	My enemies speak evil of me, When shall he die, and his name perish?
Psalm 41:6	And if he come to see me, he speaks vanity: his heart gathers iniquity to itself; when he goes abroad, he tells it.
Psalm 41:7	All that hate me whisper together against me: against me do they devise my hurt.
Psalm 41:8	An evil disease, say they, sticks fast to him: and now that he lies he shall rise up no more.
Psalm 41:9	Yes, my own familiar friend, in whom I trusted, which did eat of my bread, has lifted up his heel against me.
Psalm 41:10	But you, O LORD, be merciful to me, and raise me up, that I may requite them.
Psalm 41:11	By this I know that you favor me, because my enemy does not triumph over me.
Psalm 41:12	And as for me, you uphold me in my integrity, and set me before your face for ever.
Psalm 41:13	Blessed be the LORD God of Israel from everlasting, and to everlasting. Amen, and Amen.
Psalm 42:1	As the hart pants after the water brooks, so pants my soul after you, O God.
Psalm 42:2	My soul thirsts for God, for the living God: when shall I come and appear before God?
Psalm 42:3	My tears have been my meat day and night, while they continually say to me, Where is your God?
Psalm 42:4	When I remember these things, I pour out my soul in me: for I had gone with the multitude, I went with them to the house of God, with the voice of joy and praise, with a multitude that kept holy day.
Psalm 42:5	Why are you cast down, O my soul? and why are you disquieted in me? hope you in God: for I shall yet praise him for the help of his countenance.
Psalm 42:6	O my God, my soul is cast down within me: therefore will I remember you from the land of Jordan, and of the Hermonites, from the hill Mizar.
Psalm 42:7	Deep calls to deep at the noise of your waterspouts: all your waves and your billows are gone over me.
Psalm 42:8	Yet the LORD will command his loving kindness in the day time, and in the night his song shall be with me, and my prayer to the God of my life.
Psalm 42:9	I will say to God my rock, Why have you forgotten me? why go I mourning because of the oppression of the enemy?
Psalm 42:10	As with a sword in my bones, my enemies reproach me; while they say daily to me, Where is your God?
Psalm 42:11	Why are you cast down, O my soul? and why are you disquieted within me? hope you in God: for I shall yet praise him, who is the health of my countenance, and my God.
Psalm 43:1	Judge me, O God, and plead my cause against an ungodly nation: O deliver me from the deceitful and unjust man.
Psalm 43:2	For you are the God of my strength: why do you cast me off? why go I mourning because of the oppression of the enemy?
Psalm 43:3	O send out your light and your truth: let them lead me; let them bring me to your holy hill, and to your tabernacles.
Psalm 43:4	Then will I go to the altar of God, to God my exceeding joy: yes, on the harp will I praise you, O God my God.
Psalm 43:5	Why are you cast down, O my soul? and why are you disquieted within me? hope in God: for I shall yet praise him, who is the health of my countenance, and my God.
Psalm 44:1	We have heard with our ears, O God, our fathers have told us, what work you did in their days, in the times of old.
Psalm 44:2	How you did drive out the heathen with your hand, and planted them; how you did afflict the people, and cast them out.
Psalm 44:3	For they got not the land in possession by their own sword, neither did their own arm save them: but your right hand, and your arm, and the light of your countenance, because you had a favor to them.
Psalm 44:4	You are my King, O God: command deliverances for Jacob.
Psalm 44:5	Through you will we push down our enemies: through your name will we tread them under that rise up against us.
Psalm 44:6	For I will not trust in my bow, neither shall my sword save me.
Psalm 44:7	But you have saved us from our enemies, and have put them to shame that hated us.
Psalm 44:8	In God we boast all the day long, and praise your name for ever. Selah.
Psalm 44:9	But you have cast off, and put us to shame; and go not forth with our armies.
Psalm 44:10	You make us to turn back from the enemy: and they which hate us spoil for themselves.
Psalm 44:11	You have given us like sheep appointed for meat; and have scattered us among the heathen.
Psalm 44:12	You sell your people for nothing, and do not increase your wealth by their price.
Psalm 44:13	You make us a reproach to our neighbors, a scorn and a derision to them that are round about us.
Psalm 44:14	You make us a byword among the heathen, a shaking of the head among the people.
Psalm 44:15	My confusion is continually before me, and the shame of my face has covered me,
Psalm 44:16	For the voice of him that reproaches and blasphemes; by reason of the enemy and avenger.
Psalm 44:17	All this is come on us; yet have we not forgotten you, neither have we dealt falsely in your covenant.
Psalm 44:18	Our heart is not turned back, neither have our steps declined from your way;
Psalm 44:19	Though you have sore broken us in the place of dragons, and covered us with the shadow of death.
Psalm 44:20	If we have forgotten the name of our God, or stretched out our hands to a strange god;
Psalm 44:21	Shall not God search this out? for he knows the secrets of the heart.
Psalm 44:22	Yes, for your sake are we killed all the day long; we are counted as sheep for the slaughter.
Psalm 44:23	Awake, why sleep you, O Lord? arise, cast us not off for ever.
Psalm 44:24	Why hide you your face, and forget our affliction and our oppression?
Psalm 44:25	For our soul is bowed down to the dust: our belly sticks to the earth.
Psalm 44:26	Arise for our help, and redeem us for your mercies’ sake.
Psalm 45:1	My heart is gushing a good matter: I speak of the things which I have made touching the king: my tongue is the pen of a ready writer.
Psalm 45:2	You are fairer than the children of men: grace is poured into your lips: therefore God has blessed you for ever.
Psalm 45:3	Gird your sword on your thigh, O most mighty, with your glory and your majesty.
Psalm 45:4	And in your majesty ride prosperously because of truth and meekness and righteousness; and your right hand shall teach you terrible things.
Psalm 45:5	Your arrows are sharp in the heart of the king’s enemies; whereby the people fall under you.
Psalm 45:6	Your throne, O God, is for ever and ever: the scepter of your kingdom is a right scepter.
Psalm 45:7	You love righteousness, and hate wickedness: therefore God, your God, has anointed you with the oil of gladness above your fellows.
Psalm 45:8	All your garments smell of myrrh, and aloes, and cassia, out of the ivory palaces, whereby they have made you glad.
Psalm 45:9	Kings’ daughters were among your honorable women: on your right hand did stand the queen in gold of Ophir.
Psalm 45:10	Listen, O daughter, and consider, and incline your ear; forget also your own people, and your father’s house;
Psalm 45:11	So shall the king greatly desire your beauty: for he is your Lord; and worship you him.
Psalm 45:12	And the daughter of Tyre shall be there with a gift; even the rich among the people shall entreat your favor.
Psalm 45:13	The king’s daughter is all glorious within: her clothing is of worked gold.
Psalm 45:14	She shall be brought to the king in raiment of needlework: the virgins her companions that follow her shall be brought to you.
Psalm 45:15	With gladness and rejoicing shall they be brought: they shall enter into the king’s palace.
Psalm 45:16	Instead of your fathers shall be your children, whom you may make princes in all the earth.
Psalm 45:17	I will make your name to be remembered in all generations: therefore shall the people praise you for ever and ever.
Psalm 46:1	God is our refuge and strength, a very present help in trouble.
Psalm 46:2	Therefore will not we fear, though the earth be removed, and though the mountains be carried into the middle of the sea;
Psalm 46:3	Though the waters thereof roar and be troubled, though the mountains shake with the swelling thereof. Selah.
Psalm 46:4	There is a river, the streams whereof shall make glad the city of God, the holy place of the tabernacles of the most High.
Psalm 46:5	God is in the middle of her; she shall not be moved: God shall help her, and that right early.
Psalm 46:6	The heathen raged, the kingdoms were moved: he uttered his voice, the earth melted.
Psalm 46:7	The LORD of hosts is with us; the God of Jacob is our refuge. Selah.
Psalm 46:8	Come, behold the works of the LORD, what desolations he has made in the earth.
Psalm 46:9	He makes wars to cease to the end of the earth; he breaks the bow, and cuts the spear in sunder; he burns the chariot in the fire.
Psalm 46:10	Be still, and know that I am God: I will be exalted among the heathen, I will be exalted in the earth.
Psalm 46:11	The LORD of hosts is with us; the God of Jacob is our refuge. Selah.
Psalm 47:1	O clap your hands, all you people; shout to God with the voice of triumph.
Psalm 47:2	For the LORD most high is terrible; he is a great King over all the earth.
Psalm 47:3	He shall subdue the people under us, and the nations under our feet.
Psalm 47:4	He shall choose our inheritance for us, the excellency of Jacob whom he loved. Selah.
Psalm 47:5	God is gone up with a shout, the LORD with the sound of a trumpet.
Psalm 47:6	Sing praises to God, sing praises: sing praises to our King, sing praises.
Psalm 47:7	For God is the King of all the earth: sing you praises with understanding.
Psalm 47:8	God reigns over the heathen: God sits on the throne of his holiness.
Psalm 47:9	The princes of the people are gathered together, even the people of the God of Abraham: for the shields of the earth belong to God: he is greatly exalted.
Psalm 48:1	Great is the LORD, and greatly to be praised in the city of our God, in the mountain of his holiness.
Psalm 48:2	Beautiful for situation, the joy of the whole earth, is mount Zion, on the sides of the north, the city of the great King.
Psalm 48:3	God is known in her palaces for a refuge.
Psalm 48:4	For, see, the kings were assembled, they passed by together.
Psalm 48:5	They saw it, and so they marveled; they were troubled, and hurried away.
Psalm 48:6	Fear took hold on them there, and pain, as of a woman in travail.
Psalm 48:7	You break the ships of Tarshish with an east wind.
Psalm 48:8	As we have heard, so have we seen in the city of the LORD of hosts, in the city of our God: God will establish it for ever. Selah.
Psalm 48:9	We have thought of your loving kindness, O God, in the middle of your temple.
Psalm 48:10	According to your name, O God, so is your praise to the ends of the earth: your right hand is full of righteousness.
Psalm 48:11	Let mount Zion rejoice, let the daughters of Judah be glad, because of your judgments.
Psalm 48:12	Walk about Zion, and go round about her: tell the towers thereof.
Psalm 48:13	Mark you well her bulwarks, consider her palaces; that you may tell it to the generation following.
Psalm 48:14	For this God is our God for ever and ever: he will be our guide even to death.
Psalm 49:1	Hear this, all you people; give ear, all you inhabitants of the world:
Psalm 49:2	Both low and high, rich and poor, together.
Psalm 49:3	My mouth shall speak of wisdom; and the meditation of my heart shall be of understanding.
Psalm 49:4	I will incline my ear to a parable: I will open my dark saying on the harp.
Psalm 49:5	Why should I fear in the days of evil, when the iniquity of my heels shall compass me about?
Psalm 49:6	They that trust in their wealth, and boast themselves in the multitude of their riches;
Psalm 49:7	None of them can by any means redeem his brother, nor give to God a ransom for him:
Psalm 49:8	(For the redemption of their soul is precious, and it ceases for ever:)
Psalm 49:9	That he should still live for ever, and not see corruption.
Psalm 49:10	For he sees that wise men die, likewise the fool and the brutish person perish, and leave their wealth to others.
Psalm 49:11	Their inward thought is, that their houses shall continue for ever, and their dwelling places to all generations; they call their lands after their own names.
Psalm 49:12	Nevertheless man being in honor stays not: he is like the beasts that perish.
Psalm 49:13	This their way is their folly: yet their posterity approve their sayings. Selah.
Psalm 49:14	Like sheep they are laid in the grave; death shall feed on them; and the upright shall have dominion over them in the morning; and their beauty shall consume in the grave from their dwelling.
Psalm 49:15	But God will redeem my soul from the power of the grave: for he shall receive me. Selah.
Psalm 49:16	Be not you afraid when one is made rich, when the glory of his house is increased;
Psalm 49:17	For when he dies he shall carry nothing away: his glory shall not descend after him.
Psalm 49:18	Though while he lived he blessed his soul: and men will praise you, when you do well to yourself.
Psalm 49:19	He shall go to the generation of his fathers; they shall never see light.
Psalm 49:20	Man that is in honor, and understands not, is like the beasts that perish.
Psalm 50:1	The mighty God, even the LORD, has spoken, and called the earth from the rising of the sun to the going down thereof.
Psalm 50:2	Out of Zion, the perfection of beauty, God has shined.
Psalm 50:3	Our God shall come, and shall not keep silence: a fire shall devour before him, and it shall be very tempestuous round about him.
Psalm 50:4	He shall call to the heavens from above, and to the earth, that he may judge his people.
Psalm 50:5	Gather my saints together to me; those that have made a covenant with me by sacrifice.
Psalm 50:6	And the heavens shall declare his righteousness: for God is judge himself. Selah.
Psalm 50:7	Hear, O my people, and I will speak; O Israel, and I will testify against you: I am God, even your God.
Psalm 50:8	I will not reprove you for your sacrifices or your burnt offerings, to have been continually before me.
Psalm 50:9	I will take no bullock out of your house, nor he goats out of your folds.
Psalm 50:10	For every beast of the forest is mine, and the cattle on a thousand hills.
Psalm 50:11	I know all the fowls of the mountains: and the wild beasts of the field are mine.
Psalm 50:12	If I were hungry, I would not tell you: for the world is mine, and the fullness thereof.
Psalm 50:13	Will I eat the flesh of bulls, or drink the blood of goats?
Psalm 50:14	Offer to God thanksgiving; and pay your vows to the most High:
Psalm 50:15	And call on me in the day of trouble: I will deliver you, and you shall glorify me.
Psalm 50:16	But to the wicked God said, What have you to do to declare my statutes, or that you should take my covenant in your mouth?
Psalm 50:17	Seeing you hate instruction, and casts my words behind you.
Psalm 50:18	When you saw a thief, then you consented with him, and have been partaker with adulterers.
Psalm 50:19	You give your mouth to evil, and your tongue frames deceit.
Psalm 50:20	You sit and speak against your brother; you slander your own mother’s son.
Psalm 50:21	These things have you done, and I kept silence; you thought that I was altogether such an one as yourself: but I will reprove you, and set them in order before your eyes.
Psalm 50:22	Now consider this, you that forget God, lest I tear you in pieces, and there be none to deliver.
Psalm 50:23	Whoever offers praise glorifies me: and to him that orders his conversation aright will I show the salvation of God.
Psalm 51:1	Have mercy on me, O God, according to your loving kindness: according to the multitude of your tender mercies blot out my transgressions.
Psalm 51:2	Wash me thoroughly from my iniquity, and cleanse me from my sin.
Psalm 51:3	For I acknowledge my transgressions: and my sin is ever before me.
Psalm 51:4	Against you, you only, have I sinned, and done this evil in your sight: that you might be justified when you speak, and be clear when you judge.
Psalm 51:5	Behold, I was shaped in iniquity; and in sin did my mother conceive me.
Psalm 51:6	Behold, you desire truth in the inward parts: and in the hidden part you shall make me to know wisdom.
Psalm 51:7	Purge me with hyssop, and I shall be clean: wash me, and I shall be whiter than snow.
Psalm 51:8	Make me to hear joy and gladness; that the bones which you have broken may rejoice.
Psalm 51:9	Hide your face from my sins, and blot out all my iniquities.
Psalm 51:10	Create in me a clean heart, O God; and renew a right spirit within me.
Psalm 51:11	Cast me not away from your presence; and take not your holy spirit from me.
Psalm 51:12	Restore to me the joy of your salvation; and uphold me with your free spirit.
Psalm 51:13	Then will I teach transgressors your ways; and sinners shall be converted to you.
Psalm 51:14	Deliver me from bloodguiltiness, O God, you God of my salvation: and my tongue shall sing aloud of your righteousness.
Psalm 51:15	O Lord, open you my lips; and my mouth shall show forth your praise.
Psalm 51:16	For you desire not sacrifice; else would I give it: you delight not in burnt offering.
Psalm 51:17	The sacrifices of God are a broken spirit: a broken and a contrite heart, O God, you will not despise.
Psalm 51:18	Do good in your good pleasure to Zion: build you the walls of Jerusalem.
Psalm 51:19	Then shall you be pleased with the sacrifices of righteousness, with burnt offering and whole burnt offering: then shall they offer bullocks on your altar.
Psalm 52:1	Why boast you yourself in mischief, O mighty man? the goodness of God endures continually.
Psalm 52:2	The tongue devises mischiefs; like a sharp razor, working deceitfully.
Psalm 52:3	You love evil more than good; and lying rather than to speak righteousness. Selah.
Psalm 52:4	You love all devouring words, O you deceitful tongue.
Psalm 52:5	God shall likewise destroy you for ever, he shall take you away, and pluck you out of your dwelling place, and root you out of the land of the living. Selah.
Psalm 52:6	The righteous also shall see, and fear, and shall laugh at him:
Psalm 52:7	See, this is the man that made not God his strength; but trusted in the abundance of his riches, and strengthened himself in his wickedness.
Psalm 52:8	But I am like a green olive tree in the house of God: I trust in the mercy of God for ever and ever.
Psalm 52:9	I will praise you for ever, because you have done it: and I will wait on your name; for it is good before your saints.
Psalm 53:1	The fool has said in his heart, There is no God. Corrupt are they, and have done abominable iniquity: there is none that does good.
Psalm 53:2	God looked down from heaven on the children of men, to see if there were any that did understand, that did seek God.
Psalm 53:3	Every one of them is gone back: they are altogether become filthy; there is none that does good, no, not one.
Psalm 53:4	Have the workers of iniquity no knowledge? who eat up my people as they eat bread: they have not called on God.
Psalm 53:5	There were they in great fear, where no fear was: for God has scattered the bones of him that encamps against you: you have put them to shame, because God has despised them.
Psalm 53:6	Oh that the salvation of Israel were come out of Zion! When God brings back the captivity of his people, Jacob shall rejoice, and Israel shall be glad.
Psalm 54:1	Save me, O God, by your name, and judge me by your strength.
Psalm 54:2	Hear my prayer, O God; give ear to the words of my mouth.
Psalm 54:3	For strangers are risen up against me, and oppressors seek after my soul: they have not set God before them. Selah.
Psalm 54:4	Behold, God is my helper: the Lord is with them that uphold my soul.
Psalm 54:5	He shall reward evil to my enemies: cut them off in your truth.
Psalm 54:6	I will freely sacrifice to you: I will praise your name, O LORD; for it is good.
Psalm 54:7	For he has delivered me out of all trouble: and my eye has seen his desire on my enemies.
Psalm 55:1	Give ear to my prayer, O God; and hide not yourself from my supplication.
Psalm 55:2	Attend to me, and hear me: I mourn in my complaint, and make a noise;
Psalm 55:3	Because of the voice of the enemy, because of the oppression of the wicked: for they cast iniquity on me, and in wrath they hate me.
Psalm 55:4	My heart is sore pained within me: and the terrors of death are fallen on me.
Psalm 55:5	Fearfulness and trembling are come on me, and horror has overwhelmed me.
