1	Then Job answered Yahweh,
Psalm 35:16	Like the profane mockers in feasts, they gnashed their teeth at me.
Psalm 35:17	Lord, how long will you look on? Rescue my soul from their destruction, my precious life from the lions.
Psalm 35:18	I will give you thanks in the great assembly. I will praise you among many people.
Psalm 35:19	Don’t let those who are my enemies wrongfully rejoice over me; neither let those who hate me without a cause wink their eyes.
Psalm 35:20	For they don’t speak peace, but they devise deceitful words against those who are quiet in the land.
Psalm 35:21	Yes, they opened their mouth wide against me. They said, “Aha! Aha! Our eye has seen it!”
Psalm 35:22	You have seen it, Yahweh. Don’t keep silent. Lord, don’t be far from me.
Psalm 35:23	Wake up! Rise up to defend me, my God! My Lord, contend for me!
Psalm 35:24	Vindicate me, Yahweh my God, according to your righteousness. Don’t let them gloat over me.
Psalm 35:25	Don’t let them say in their heart, “Aha! That’s the way we want it!” Don’t let them say, “We have swallowed him up!”
Psalm 35:26	Let them be disappointed and confounded together who rejoice at my calamity. Let them be clothed with shame and dishonor who magnify themselves against me.
Psalm 35:27	Let them shout for joy and be glad, who favor my righteous cause. Yes, let them say continually, “Yahweh be magnified, who has pleasure in the prosperity of his servant!”
Psalm 35:28	My tongue shall talk about your righteousness and about your praise all day long.
Psalm 36:1	For the Chief Musician. By David, the servant of Yahweh. An oracle is within my heart about the disobedience of the wicked: “There is no fear of God before his eyes.”
Psalm 36:2	For he flatters himself in his own eyes, too much to detect and hate his sin.
Psalm 36:3	The words of his mouth are iniquity and deceit. He has ceased to be wise and to do good.
Psalm 36:4	He plots iniquity on his bed. He sets himself in a way that is not good. He doesn’t abhor evil.
Psalm 36:5	Your loving kindness, Yahweh, is in the heavens. Your faithfulness reaches to the skies.
Psalm 36:6	Your righteousness is like the mountains of God. Your judgments are like a great deep. Yahweh, you preserve man and animal.
Psalm 36:7	How precious is your loving kindness, God! The children of men take refuge under the shadow of your wings.
Psalm 36:8	They shall be abundantly satisfied with the abundance of your house. You will make them drink of the river of your pleasures.
Psalm 36:9	For with you is the spring of life. In your light shall we see light.
Psalm 36:10	Oh continue your loving kindness to those who know you, your righteousness to the upright in heart.
Psalm 36:11	Don’t let the foot of pride come against me. Don’t let the hand of the wicked drive me away.
Psalm 36:12	There the workers of iniquity are fallen. They are thrust down, and shall not be able to rise.
Psalm 37:1	By David. Don’t fret because of evildoers, neither be envious against those who work unrighteousness.
Psalm 37:2	For they shall soon be cut down like the grass, and wither like the green herb.
Psalm 37:3	Trust in Yahweh, and do good. Dwell in the land, and enjoy safe pasture.
Psalm 37:4	Also delight yourself in Yahweh, and he will give you the desires of your heart.
Psalm 37:5	Commit your way to Yahweh. Trust also in him, and he will do this:
Psalm 37:6	he will make your righteousness go forth as the light, and your justice as the noon day sun.
Psalm 37:7	Rest in Yahweh, and wait patiently for him. Don’t fret because of him who prospers in his way, because of the man who makes wicked plots happen.
Psalm 37:8	Cease from anger, and forsake wrath. Don’t fret, it leads only to evildoing.
Psalm 37:9	For evildoers shall be cut off, but those who wait for Yahweh shall inherit the land.
Psalm 37:10	For yet a little while, and the wicked will be no more. Yes, though you look for his place, he isn’t there.
Psalm 37:11	But the humble shall inherit the land, and shall delight themselves in the abundance of peace.
Psalm 37:12	The wicked plots against the just, and gnashes at him with his teeth.
Psalm 37:13	The Lord will laugh at him, for he sees that his day is coming.
Psalm 37:14	The wicked have drawn out the sword, and have bent their bow, to cast down the poor and needy, to kill those who are upright in the way.
Psalm 37:15	Their sword shall enter into their own heart. Their bows shall be broken.
Psalm 37:16	Better is a little that the righteous has, than the abundance of many wicked.
Psalm 37:17	For the arms of the wicked shall be broken, but Yahweh upholds the righteous.
Psalm 37:18	Yahweh knows the days of the perfect. Their inheritance shall be forever.
Psalm 37:19	They shall not be disappointed in the time of evil. In the days of famine they shall be satisfied.
Psalm 37:20	But the wicked shall perish. The enemies of Yahweh shall be like the beauty of the fields. They will vanish—vanish like smoke.
Psalm 37:21	The wicked borrow, and don’t pay back, but the righteous give generously.
Psalm 37:22	For such as are blessed by him shall inherit the land. Those who are cursed by him shall be cut off.
Psalm 37:23	A man’s goings are established by Yahweh. He delights in his way.
Psalm 37:24	Though he stumble, he shall not fall, for Yahweh holds him up with his hand.
Psalm 37:25	I have been young, and now am old, yet I have not seen the righteous forsaken, nor his children begging for bread.
Psalm 37:26	All day long he deals graciously, and lends. His seed is blessed.
Psalm 37:27	Depart from evil, and do good. Live securely forever.
Psalm 37:28	For Yahweh loves justice, and doesn’t forsake his saints. They are preserved forever, but the children of the wicked shall be cut off.
Psalm 37:29	The righteous shall inherit the land, and live in it forever.
Psalm 37:30	The mouth of the righteous talks of wisdom. His tongue speaks justice.
Psalm 37:31	The law of his God is in his heart. None of his steps shall slide.
Psalm 37:32	The wicked watches the righteous, and seeks to kill him.
Psalm 37:33	Yahweh will not leave him in his hand, nor condemn him when he is judged.
Psalm 37:34	Wait for Yahweh, and keep his way, and he will exalt you to inherit the land. When the wicked are cut off, you shall see it.
Psalm 37:35	I have seen the wicked in great power, spreading himself like a green tree in its native soil.
Psalm 37:36	But he passed away, and behold, he was not. Yes, I sought him, but he could not be found.
Psalm 37:37	Mark the perfect man, and see the upright, for there is a future for the man of peace.
Psalm 37:38	As for transgressors, they shall be destroyed together. The future of the wicked shall be cut off.
Psalm 37:39	But the salvation of the righteous is from Yahweh. He is their stronghold in the time of trouble.
Psalm 37:40	Yahweh helps them, and rescues them. He rescues them from the wicked, and saves them, Because they have taken refuge in him.
Psalm 38:1	A Psalm by David, for a memorial. Yahweh, don’t rebuke me in your wrath, neither chasten me in your hot displeasure.
Psalm 38:2	For your arrows have pierced me, your hand presses hard on me.
Psalm 38:3	There is no soundness in my flesh because of your indignation, neither is there any health in my bones because of my sin.
Psalm 38:4	For my iniquities have gone over my head. As a heavy burden, they are too heavy for me.
Psalm 38:5	My wounds are loathsome and corrupt, because of my foolishness.
Psalm 38:6	I am pained and bowed down greatly. I go mourning all day long.
Psalm 38:7	For my waist is filled with burning. There is no soundness in my flesh.
Psalm 38:8	I am faint and severely bruised. I have groaned by reason of the anguish of my heart.
Psalm 38:9	Lord, all my desire is before you. My groaning is not hidden from you.
Psalm 38:10	My heart throbs. My strength fails me. As for the light of my eyes, it has also left me.
Psalm 38:11	My lovers and my friends stand aloof from my plague. My kinsmen stand far away.
Psalm 38:12	They also who seek after my life lay snares. Those who seek my hurt speak mischievous things, and meditate deceits all day long.
Psalm 38:13	But I, as a deaf man, don’t hear. I am as a mute man who doesn’t open his mouth.
Psalm 38:14	Yes, I am as a man who doesn’t hear, in whose mouth are no reproofs.
Psalm 38:15	For in you, Yahweh, do I hope. You will answer, Lord my God.
Psalm 38:16	For I said, “Don’t let them gloat over me, or exalt themselves over me when my foot slips.”
Psalm 38:17	For I am ready to fall. My pain is continually before me.
Psalm 38:18	For I will declare my iniquity. I will be sorry for my sin.
Psalm 38:19	But my enemies are vigorous and many. Those who hate me without reason are numerous.
Psalm 38:20	They who also render evil for good are adversaries to me, because I follow what is good.
Psalm 38:21	Don’t forsake me, Yahweh. My God, don’t be far from me.
Psalm 38:22	Hurry to help me, Lord, my salvation.
Psalm 39:1	For the Chief Musician. For Jeduthun. A Psalm by David. I said, “I will watch my ways, so that I don’t sin with my tongue. I will keep my mouth with a bridle while the wicked is before me.”
Psalm 39:2	I was mute with silence. I held my peace, even from good. My sorrow was stirred.
Psalm 39:3	My heart was hot within me. While I meditated, the fire burned: I spoke with my tongue:
Psalm 39:4	“Yahweh, show me my end, what is the measure of my days. Let me know how frail I am.
Psalm 39:5	Behold, you have made my days handbreadths. My lifetime is as nothing before you. Surely every man stands as a breath.” Selah.
Psalm 39:6	“Surely every man walks like a shadow. Surely they busy themselves in vain. He heaps up, and doesn’t know who shall gather.
Psalm 39:7	Now, Lord, what do I wait for? My hope is in you.
Psalm 39:8	Deliver me from all my transgressions. Don’t make me the reproach of the foolish.
Psalm 39:9	I was mute. I didn’t open my mouth, because you did it.
Psalm 39:10	Remove your scourge away from me. I am overcome by the blow of your hand.
Psalm 39:11	When you rebuke and correct man for iniquity, You consume his wealth like a moth. Surely every man is but a breath.” Selah.
Psalm 39:12	“Hear my prayer, Yahweh, and give ear to my cry. Don’t be silent at my tears. For I am a stranger with you, a foreigner, as all my fathers were.
Psalm 39:13	Oh spare me, that I may recover strength, before I go away, and exist no more.”
Psalm 40:1	For the Chief Musician. A Psalm by David. I waited patiently for Yahweh. He turned to me, and heard my cry.
Psalm 40:2	He brought me up also out of a horrible pit, out of the miry clay. He set my feet on a rock, and gave me a firm place to stand.
Psalm 40:3	He has put a new song in my mouth, even praise to our God. Many shall see it, and fear, and shall trust in Yahweh.
Psalm 40:4	Blessed is the man who makes Yahweh his trust, and doesn’t respect the proud, nor such as turn aside to lies.
Psalm 40:5	Many, Yahweh, my God, are the wonderful works which you have done, and your thoughts which are toward us. They can’t be declared back to you. If I would declare and speak of them, they are more than can be numbered.
Psalm 40:6	Sacrifice and offering you didn’t desire. You have opened my ears. You have not required burnt offering and sin offering.
Psalm 40:7	Then I said, “Behold, I have come. It is written about me in the book in the scroll.
Psalm 40:8	I delight to do your will, my God. Yes, your law is within my heart.”
Psalm 40:9	I have proclaimed glad news of righteousness in the great assembly. Behold, I will not seal my lips, Yahweh, you know.
Psalm 40:10	I have not hidden your righteousness within my heart. I have declared your faithfulness and your salvation. I have not concealed your loving kindness and your truth from the great assembly.
Psalm 40:11	Don’t withhold your tender mercies from me, Yahweh. Let your loving kindness and your truth continually preserve me.
Psalm 40:12	For innumerable evils have surrounded me. My iniquities have overtaken me, so that I am not able to look up. They are more than the hairs of my head. My heart has failed me.
Psalm 40:13	Be pleased, Yahweh, to deliver me. Hurry to help me, Yahweh.
Psalm 40:14	Let them be disappointed and confounded together who seek after my soul to destroy it. Let them be turned backward and brought to dishonor who delight in my hurt.
Psalm 40:15	Let them be desolate by reason of their shame that tell me, “Aha! Aha!”
Psalm 40:16	Let all those who seek you rejoice and be glad in you. Let such as love your salvation say continually, “Let Yahweh be exalted!”
Psalm 40:17	But I am poor and needy. May the Lord think about me. You are my help and my deliverer. Don’t delay, my God.
Psalm 41:1	For the Chief Musician. A Psalm by David. Blessed is he who considers the poor. Yahweh will deliver him in the day of evil.
Psalm 41:2	Yahweh will preserve him, and keep him alive. He shall be blessed on the earth, and he will not surrender him to the will of his enemies.
Psalm 41:3	Yahweh will sustain him on his sickbed, and restore him from his bed of illness.
Psalm 41:4	I said, “Yahweh, have mercy on me! Heal me, for I have sinned against you.”
Psalm 41:5	My enemies speak evil against me: “When will he die, and his name perish?”
Psalm 41:6	If he comes to see me, he speaks falsehood. His heart gathers iniquity to itself. When he goes abroad, he tells it.
Psalm 41:7	All who hate me whisper together against me. They imagine the worst for me.
Psalm 41:8	“An evil disease,” they say, “has afflicted him. Now that he lies he shall rise up no more.”
Psalm 41:9	Yes, my own familiar friend, in whom I trusted, who ate bread with me, has lifted up his heel against me.
Psalm 41:10	But you, Yahweh, have mercy on me, and raise me up, that I may repay them.
Psalm 41:11	By this I know that you delight in me, because my enemy doesn’t triumph over me.
Psalm 41:12	As for me, you uphold me in my integrity, and set me in your presence forever.
Psalm 41:13	Blessed be Yahweh, the God of Israel, from everlasting and to everlasting! Amen and amen.
Psalm 42:1	For the Chief Musician. A contemplation by the sons of Korah. As the deer pants for the water brooks, so my soul pants after you, God.
Psalm 42:2	My soul thirsts for God, for the living God. When shall I come and appear before God?
Psalm 42:3	My tears have been my food day and night, while they continually ask me, “Where is your God?”
Psalm 42:4	These things I remember, and pour out my soul within me, how I used to go with the crowd, and led them to the house of God, with the voice of joy and praise, a multitude keeping a holy day.
Psalm 42:5	Why are you in despair, my soul? Why are you disturbed within me? Hope in God! For I shall still praise him for the saving help of his presence.
Psalm 42:6	My God, my soul is in despair within me. Therefore I remember you from the land of the Jordan, the heights of Hermon, from the hill Mizar.
Psalm 42:7	Deep calls to deep at the noise of your waterfalls. All your waves and your billows have swept over me.
Psalm 42:8	Yahweh will command his loving kindness in the daytime. In the night his song shall be with me: a prayer to the God of my life.
Psalm 42:9	I will ask God, my rock, “Why have you forgotten me? Why do I go mourning because of the oppression of the enemy?”
Psalm 42:10	As with a sword in my bones, my adversaries reproach me, while they continually ask me, “Where is your God?”
Psalm 42:11	Why are you in despair, my soul? Why are you disturbed within me? Hope in God! For I shall still praise him, the saving help of my countenance, and my God.
Psalm 43:1	Vindicate me, God, and plead my cause against an ungodly nation. Oh, deliver me from deceitful and wicked men.
Psalm 43:2	For you are the God of my strength. Why have you rejected me? Why do I go mourning because of the oppression of the enemy?
Psalm 43:3	Oh, send out your light and your truth. Let them lead me. Let them bring me to your holy hill, To your tents.
Psalm 43:4	Then I will go to the altar of God, to God, my exceeding joy. I will praise you on the harp, God, my God.
Psalm 43:5	Why are you in despair, my soul? Why are you disturbed within me? Hope in God! For I shall still praise him: my Savior, my helper, and my God.
Psalm 44:1	For the Chief Musician. By the sons of Korah. A contemplative psalm. We have heard with our ears, God; our fathers have told us, what work you did in their days, in the days of old.
Psalm 44:2	You drove out the nations with your hand, but you planted them. You afflicted the peoples, but you spread them abroad.
Psalm 44:3	For they didn’t get the land in possession by their own sword, neither did their own arm save them; but your right hand, and your arm, and the light of your face, because you were favorable to them.
Psalm 44:4	You are my King, God. Command victories for Jacob!
Psalm 44:5	Through you, will we push down our adversaries. Through your name, will we tread them under who rise up against us.
Psalm 44:6	For I will not trust in my bow, neither shall my sword save me.
Psalm 44:7	But you have saved us from our adversaries, and have shamed those who hate us.
Psalm 44:8	In God we have made our boast all day long, we will give thanks to your name forever. Selah.
Psalm 44:9	But now you rejected us, and brought us to dishonor, and don’t go out with our armies.
Psalm 44:10	You make us turn back from the adversary. Those who hate us take spoil for themselves.
Psalm 44:11	You have made us like sheep for food, and have scattered us among the nations.
Psalm 44:12	You sell your people for nothing, and have gained nothing from their sale.
Psalm 44:13	You make us a reproach to our neighbors, a scoffing and a derision to those who are around us.
Psalm 44:14	You make us a byword among the nations, a shaking of the head among the peoples.
Psalm 44:15	All day long my dishonor is before me, and shame covers my face,
Psalm 44:16	At the taunt of one who reproaches and verbally abuses, because of the enemy and the avenger.
Psalm 44:17	All this has come on us, yet have we not forgotten you, Neither have we been false to your covenant.
Psalm 44:18	Our heart has not turned back, neither have our steps strayed from your path,
Psalm 44:19	Though you have crushed us in the haunt of jackals, and covered us with the shadow of death.
Psalm 44:20	If we have forgotten the name of our God, or spread forth our hands to a strange god;
Psalm 44:21	won’t God search this out? For he knows the secrets of the heart.
Psalm 44:22	Yes, for your sake we are killed all day long. We are regarded as sheep for the slaughter.
Psalm 44:23	Wake up! Why do you sleep, Lord? Arise! Don’t reject us forever.
Psalm 44:24	Why do you hide your face, and forget our affliction and our oppression?
Psalm 44:25	For our soul is bowed down to the dust. Our body clings to the earth.
Psalm 44:26	Rise up to help us. Redeem us for your loving kindness’ sake.
Psalm 45:1	For the Chief Musician. Set to “The Lilies.” A contemplation by the sons of Korah. A wedding song. My heart overflows with a noble theme. I recite my verses for the king. My tongue is like the pen of a skillful writer.
Psalm 45:2	You are the most excellent of the sons of men. Grace has anointed your lips, therefore God has blessed you forever.
Psalm 45:3	Strap your sword on your thigh, mighty one: your splendor and your majesty.
Psalm 45:4	In your majesty ride on victoriously on behalf of truth, humility, and righteousness. Let your right hand display awesome deeds.
Psalm 45:5	Your arrows are sharp. The nations fall under you, with arrows in the heart of the king’s enemies.
Psalm 45:6	Your throne, God, is forever and ever. A scepter of equity is the scepter of your kingdom.
Psalm 45:7	You have loved righteousness, and hated wickedness. Therefore God, your God, has anointed you with the oil of gladness above your fellows.
Psalm 45:8	All your garments smell like myrrh, aloes, and cassia. Out of ivory palaces stringed instruments have made you glad.
Psalm 45:9	Kings’ daughters are among your honorable women. At your right hand the queen stands in gold of Ophir.
Psalm 45:10	Listen, daughter, consider, and turn your ear. Forget your own people, and also your father’s house.
Psalm 45:11	So the king will desire your beauty, honor him, for he is your lord.
Psalm 45:12	The daughter of Tyre comes with a gift. The rich among the people entreat your favor.
Psalm 45:13	The princess inside is all glorious. Her clothing is interwoven with gold.
Psalm 45:14	She shall be led to the king in embroidered work. The virgins, her companions who follow her, shall be brought to you.
Psalm 45:15	With gladness and rejoicing they shall be led. They shall enter into the king’s palace.
Psalm 45:16	Your sons will take the place of your fathers. You shall make them princes in all the earth.
Psalm 45:17	I will make your name to be remembered in all generations. Therefore the peoples shall give you thanks forever and ever.
Psalm 46:1	For the Chief Musician. By the sons of Korah. According to Alamoth. God is our refuge and strength, a very present help in trouble.
Psalm 46:2	Therefore we won’t be afraid, though the earth changes, though the mountains are shaken into the heart of the seas;
Psalm 46:3	though its waters roar and are troubled, though the mountains tremble with their swelling. Selah.
Psalm 46:4	There is a river, the streams of which make the city of God glad, the holy place of the tents of the Most High.
Psalm 46:5	God is in her midst. She shall not be moved. God will help her at dawn.
Psalm 46:6	The nations raged. The kingdoms were moved. He lifted his voice, and the earth melted.
Psalm 46:7	Yahweh of Armies is with us. The God of Jacob is our refuge. Selah.
Psalm 46:8	Come, see Yahweh’s works, what desolations he has made in the earth.
Psalm 46:9	He makes wars cease to the end of the earth. He breaks the bow, and shatters the spear. He burns the chariots in the fire.
Psalm 46:10	“Be still, and know that I am God. I will be exalted among the nations. I will be exalted in the earth.”
Psalm 46:11	Yahweh of Armies is with us. The God of Jacob is our refuge. Selah.
Psalm 47:1	For the Chief Musician. A Psalm by the sons of Korah. Oh clap your hands, all you nations. Shout to God with the voice of triumph!
Psalm 47:2	For Yahweh Most High is awesome. He is a great King over all the earth.
Psalm 47:3	He subdues nations under us, and peoples under our feet.
Psalm 47:4	He chooses our inheritance for us, the glory of Jacob whom he loved. Selah.
Psalm 47:5	God has gone up with a shout, Yahweh with the sound of a trumpet.
Psalm 47:6	Sing praise to God, sing praises. Sing praises to our King, sing praises.
Psalm 47:7	For God is the King of all the earth. Sing praises with understanding.
Psalm 47:8	God reigns over the nations. God sits on his holy throne.
Psalm 47:9	The princes of the peoples are gathered together, the people of the God of Abraham. For the shields of the earth belong to God. He is greatly exalted!
Psalm 48:1	A Song. A Psalm by the sons of Korah. Great is Yahweh, and greatly to be praised, in the city of our God, in his holy mountain.
Psalm 48:2	Beautiful in elevation, the joy of the whole earth, is Mount Zion, on the north sides, the city of the great King.
Psalm 48:3	God has shown himself in her citadels as a refuge.
Psalm 48:4	For, behold, the kings assembled themselves, they passed by together.
Psalm 48:5	They saw it, then they were amazed. They were dismayed. They hurried away.
Psalm 48:6	Trembling took hold of them there, pain, as of a woman in travail.
Psalm 48:7	With the east wind, you break the ships of Tarshish.
Psalm 48:8	As we have heard, so we have seen, in the city of Yahweh of Armies, in the city of our God. God will establish it forever. Selah.
Psalm 48:9	We have thought about your loving kindness, God, in the midst of your temple.
Psalm 48:10	As is your name, God, so is your praise to the ends of the earth. Your right hand is full of righteousness.
Psalm 48:11	Let Mount Zion be glad! Let the daughters of Judah rejoice, Because of your judgments.
Psalm 48:12	Walk about Zion, and go around her. Number its towers.
Psalm 48:13	Mark well her bulwarks. Consider her palaces, that you may tell it to the next generation.
Psalm 48:14	For this God is our God forever and ever. He will be our guide even to death.
Psalm 49:1	For the Chief Musician. A Psalm by the sons of Korah. Hear this, all you peoples. Listen, all you inhabitants of the world,
Psalm 49:2	both low and high, rich and poor together.
Psalm 49:3	My mouth will speak words of wisdom. My heart shall utter understanding.
Psalm 49:4	I will incline my ear to a proverb. I will open my riddle on the harp.
Psalm 49:5	Why should I fear in the days of evil, when iniquity at my heels surrounds me?
Psalm 49:6	Those who trust in their wealth, and boast in the multitude of their riches—
Psalm 49:7	none of them can by any means redeem his brother, nor give God a ransom for him.
Psalm 49:8	For the redemption of their life is costly, no payment is ever enough,
Psalm 49:9	That he should live on forever, that he should not see corruption.
Psalm 49:10	For he sees that wise men die; likewise the fool and the senseless perish, and leave their wealth to others.
Psalm 49:11	Their inward thought is that their houses will endure forever, and their dwelling places to all generations. They name their lands after themselves.
Psalm 49:12	But man, despite his riches, doesn’t endure. He is like the animals that perish.
Psalm 49:13	This is the destiny of those who are foolish, and of those who approve their sayings. Selah.
Psalm 49:14	They are appointed as a flock for Sheol. Death shall be their shepherd. The upright shall have dominion over them in the morning. Their beauty shall decay in Sheol, far from their mansion.
Psalm 49:15	But God will redeem my soul from the power of Sheol, for he will receive me. Selah.
Psalm 49:16	Don’t be afraid when a man is made rich, when the glory of his house is increased.
Psalm 49:17	For when he dies he shall carry nothing away. His glory shall not descend after him.
Psalm 49:18	Though while he lived he blessed his soul—and men praise you when you do well for yourself—
Psalm 49:19	he shall go to the generation of his fathers. They shall never see the light.
Psalm 49:20	A man who has riches without understanding, is like the animals that perish.
Psalm 50:1	A Psalm by Asaph. The Mighty One, God, Yahweh, speaks, and calls the earth from sunrise to sunset.
Psalm 50:2	Out of Zion, the perfection of beauty, God shines forth.
Psalm 50:3	Our God comes, and does not keep silent. A fire devours before him. It is very stormy around him.
Psalm 50:4	He calls to the heavens above, to the earth, that he may judge his people:
Psalm 50:5	“Gather my saints together to me, those who have made a covenant with me by sacrifice.”
Psalm 50:6	The heavens shall declare his righteousness, for God himself is judge. Selah.
Psalm 50:7	“Hear, my people, and I will speak; Israel, and I will testify against you. I am God, your God.
Psalm 50:8	I don’t rebuke you for your sacrifices. Your burnt offerings are continually before me.
Psalm 50:9	I have no need for a bull from your stall, nor male goats from your pens.
Psalm 50:10	For every animal of the forest is mine, and the livestock on a thousand hills.
Psalm 50:11	I know all the birds of the mountains. The wild animals of the field are mine.
Psalm 50:12	If I were hungry, I would not tell you, for the world is mine, and all that is in it.
Psalm 50:13	Will I eat the flesh of bulls, or drink the blood of goats?
Psalm 50:14	Offer to God the sacrifice of thanksgiving. Pay your vows to the Most High.
Psalm 50:15	Call on me in the day of trouble. I will deliver you, and you will honor me.”
Psalm 50:16	But to the wicked God says, “What right do you have to declare my statutes, that you have taken my covenant on your lips,
Psalm 50:17	since you hate instruction, and throw my words behind you?
Psalm 50:18	When you saw a thief, you consented with him, and have participated with adulterers.
Psalm 50:19	“You give your mouth to evil. Your tongue frames deceit.
Psalm 50:20	You sit and speak against your brother. You slander your own mother’s son.
Psalm 50:21	You have done these things, and I kept silent. You thought that I was just like you. I will rebuke you, and accuse you in front of your eyes.
Psalm 50:22	“Now consider this, you who forget God, lest I tear you into pieces, and there be none to deliver.
Psalm 50:23	Whoever offers the sacrifice of thanksgiving glorifies me, and prepares his way so that I will show God’s salvation to him.”
Psalm 51:1	For the Chief Musician. A Psalm by David, when Nathan the prophet came to him, after he had gone in to Bathsheba. Have mercy on me, God, according to your loving kindness. According to the multitude of your tender mercies, blot out my transgressions.
Psalm 51:2	Wash me thoroughly from my iniquity. Cleanse me from my sin.
Psalm 51:3	For I know my transgressions. My sin is constantly before me.
Psalm 51:4	Against you, and you only, have I sinned, and done that which is evil in your sight; that you may be proved right when you speak, and justified when you judge.
Psalm 51:5	Behold, I was brought forth in iniquity. In sin my mother conceived me.
Psalm 51:6	Behold, you desire truth in the inward parts. You teach me wisdom in the inmost place.
Psalm 51:7	Purify me with hyssop, and I will be clean. Wash me, and I will be whiter than snow.
Psalm 51:8	Let me hear joy and gladness, That the bones which you have broken may rejoice.
Psalm 51:9	Hide your face from my sins, and blot out all of my iniquities.
Psalm 51:10	Create in me a clean heart, O God. Renew a right spirit within me.
Psalm 51:11	Don’t throw me from your presence, and don’t take your holy Spirit from me.
Psalm 51:12	Restore to me the joy of your salvation. Uphold me with a willing spirit.
Psalm 51:13	Then I will teach transgressors your ways. Sinners shall be converted to you.
Psalm 51:14	Deliver me from bloodguiltiness, O God, the God of my salvation. My tongue shall sing aloud of your righteousness.
Psalm 51:15	Lord, open my lips. My mouth shall declare your praise.
Psalm 51:16	For you don’t delight in sacrifice, or else I would give it. You have no pleasure in burnt offering.
Psalm 51:17	The sacrifices of God are a broken spirit. A broken and contrite heart, O God, you will not despise.
Psalm 51:18	Do well in your good pleasure to Zion. Build the walls of Jerusalem.
Psalm 51:19	Then you will delight in the sacrifices of righteousness, in burnt offerings and in whole burnt offerings. Then they will offer bulls on your altar.
Psalm 52:1	For the Chief Musician. A contemplation by David, when Doeg the Edomite came and told Saul, “David has come to Abimelech’s house.” Why do you boast of mischief, mighty man? God’s loving kindness endures continually.
Psalm 52:2	Your tongue plots destruction, like a sharp razor, working deceitfully.
Psalm 52:3	You love evil more than good, lying rather than speaking the truth. Selah.
Psalm 52:4	You love all devouring words, you deceitful tongue.
Psalm 52:5	God will likewise destroy you forever. He will take you up, and pluck you out of your tent, and root you out of the land of the living. Selah.
Psalm 52:6	The righteous also will see it, and fear, and laugh at him, saying,
Psalm 52:7	“Behold, this is the man who didn’t make God his strength, but trusted in the abundance of his riches, and strengthened himself in his wickedness.”
Psalm 52:8	But as for me, I am like a green olive tree in God’s house. I trust in God’s loving kindness forever and ever.
Psalm 52:9	I will give you thanks forever, because you have done it. I will hope in your name, for it is good, in the presence of your saints.
Psalm 53:1	For the Chief Musician. To the tune of “Mahalath.” A contemplation by David. The fool has said in his heart, “There is no God.” They are corrupt, and have done abominable iniquity. There is no one who does good.
Psalm 53:2	God looks down from heaven on the children of men, to see if there are any who understood, who seek after God.
Psalm 53:3	Every one of them has gone back. They have become filthy together. There is no one who does good, no, not one.
Psalm 53:4	Have the workers of iniquity no knowledge, who eat up my people as they eat bread, and don’t call on God?
Psalm 53:5	There they were in great fear, where no fear was, for God has scattered the bones of him who encamps against you. You have put them to shame, because God has rejected them.
Psalm 53:6	Oh that the salvation of Israel would come out of Zion! When God brings back his people from captivity, then Jacob shall rejoice, and Israel shall be glad.
Psalm 54:1	For the Chief Musician. On stringed instruments. A contemplation by David, when the Ziphites came and said to Saul, “Isn’t David hiding himself among us?” Save me, God, by your name. Vindicate me in your might.
Psalm 54:2	Hear my prayer, God. Listen to the words of my mouth.
Psalm 54:3	For strangers have risen up against me. Violent men have sought after my soul. They haven’t set God before them. Selah.
Psalm 54:4	Behold, God is my helper. The Lord is the one who sustains my soul.
Psalm 54:5	He will repay the evil to my enemies. Destroy them in your truth.
Psalm 54:6	With a free will offering, I will sacrifice to you. I will give thanks to your name, Yahweh, for it is good.
Psalm 54:7	For he has delivered me out of all trouble. My eye has seen triumph over my enemies.
Psalm 55:1	For the Chief Musician. On stringed instruments. A contemplation by David. Listen to my prayer, God. Don’t hide yourself from my supplication.
Psalm 55:2	Attend to me, and answer me. I am restless in my complaint, and moan,
Psalm 55:3	Because of the voice of the enemy, Because of the oppression of the wicked. For they bring suffering on me. In anger they hold a grudge against me.
Psalm 55:4	My heart is severely pained within me. The terrors of death have fallen on me.
Psalm 55:5	Fearfulness and trembling have come on me. Horror has overwhelmed me.
Psalm 55:6	I said, “Oh that I had wings like a dove! Then I would fly away, and be at rest.
Psalm 55:7	Behold, then I would wander far off. I would lodge in the wilderness.” Selah.
Psalm 55:8	“I would hurry to a shelter from the stormy wind and storm.”
Psalm 55:9	Confuse them, Lord, and confound their language, for I have seen violence and strife in the city.
Psalm 55:10	Day and night they prowl around on its walls. Malice and abuse are also within her.
Psalm 55:11	Destructive forces are within her. Threats and lies don’t depart from her streets.
Psalm 55:12	For it was not an enemy who insulted me, then I could have endured it. Neither was it he who hated me who raised himself up against me, then I would have hidden myself from him.
Psalm 55:13	But it was you, a man like me, my companion, and my familiar friend.
Psalm 55:14	We took sweet fellowship together. We walked in God’s house with company.
Psalm 55:15	Let death come suddenly on them. Let them go down alive into Sheol. For wickedness is in their dwelling, in their midst.
Psalm 55:16	As for me, I will call on God. Yahweh will save me.
Psalm 55:17	Evening, morning, and at noon, I will cry out in distress. He will hear my voice.
Psalm 55:18	He has redeemed my soul in peace from the battle that was against me, although there are many who oppose me.
