1	Then Job answered the LORD, and said:
Psalm 31:2	Incline Thine ear unto me, deliver me speedily; Be Thou to me a rock of refuge, even a fortress of defence, to save me.
Psalm 31:3	For Thou art my rock and my fortress; Therefore for Thy name’s sake lead me and guide me.
Psalm 31:4	Bring me forth out of the net that they have hidden for me; For Thou art my stronghold.
Psalm 31:5	Into Thy hand I commit my spirit; Thou hast redeemed me, O LORD, Thou God of truth.
Psalm 31:6	I hate them that regard lying vanities; But I trust in the LORD.
Psalm 31:7	I will be glad and rejoice in Thy lovingkindness; For Thou hast seen mine affliction, Thou hast taken cognizance of the troubles of my soul,
Psalm 31:8	And Thou hast not given me over into the hand of the enemy; Thou hast set my feet in a broad place.
Psalm 31:9	Be gracious unto me, O LORD, for I am in distress; Mine eye wasteth away with vexation, yea, my soul and my body.
Psalm 31:10	For my life is spent in sorrow, and my years in sighing; My strength faileth because of mine iniquity, and my bones are wasted away.
Psalm 31:11	Because of all mine adversaries I am become a reproach, Yea, unto my neighbours exceedingly, and a dread to mine acquaintance; They that see me without flee from me.
Psalm 31:12	I am forgotten as a dead man out of mind; I am like a useless vessel.
Psalm 31:13	For I have heard the whispering of many, Terror on every side; While they took counsel together against me, They devised to take away my life.
Psalm 31:14	But as for me, I have trusted in Thee, O LORD; I have said: ‘Thou art my God.’
Psalm 31:15	My times are in Thy hand; Deliver me from the hand of mine enemies, and from them that persecute me.
Psalm 31:16	Make Thy face to shine upon Thy servant; Save me in Thy lovingkindness.
Psalm 31:17	O LORD, let me not be ashamed, for I have called upon Thee; Let the wicked be ashamed, let them be put to silence in the nether-world.
Psalm 31:18	Let the lying lips be dumb, Which speak arrogantly against the righteous, With pride and contempt.
Psalm 31:19	Oh how abundant is Thy goodness, which Thou hast laid up for them that fear Thee; Which Thou hast wrought for them that take their refuge in Thee, in the sight of the sons of men!
Psalm 31:20	Thou hidest them in the covert of Thy presence from the plottings of man; Thou concealest them in a pavilion from the strife of tongues.
Psalm 31:21	Blessed be the LORD; For He hath shown me His wondrous lovingkindness in an entrenched city.
Psalm 31:22	As for me, I said in my haste: ‘I am cut off from before Thine eyes’; Nevertheless Thou heardest the voice of my supplications when I cried unto Thee.
Psalm 31:23	O love the LORD, all ye His godly ones; The LORD preserveth the faithful, And plentifully repayeth him that acteth haughtily.
Psalm 31:24	Be strong, and let your heart take courage, All ye that wait for the LORD.
Psalm 32:1	[A Psalm] of David. Maschil. Happy is he whose transgression is forgiven, whose sin is pardoned.
Psalm 32:2	Happy is the man unto whom the LORD counteth not iniquity, And in whose spirit there is no guile.
Psalm 32:3	When I kept silence, my bones wore away Through my groaning all the day long.
Psalm 32:4	For day and night Thy hand was heavy upon me; My sap was turned as in the droughts of summer. Selah
Psalm 32:5	I acknowledged my sin unto Thee, and mine iniquity have I not hid; I said: ‘I will make confession concerning my transgressions unto the LORD’—And Thou, Thou forgavest the iniquity of my sin. Selah
Psalm 32:6	For this let every one that is godly pray unto Thee in a time when Thou mayest be found; Surely, when the great waters overflow, they will not reach unto him.
Psalm 32:7	Thou art my hiding-place; Thou wilt preserve me from the adversary; With songs of deliverance Thou wilt compass me about. Selah
Psalm 32:8	I will instruct thee and teach thee in the way which thou shalt go; I will give counsel, Mine eye being upon thee.’
Psalm 32:9	Be ye not as the horse, or as the mule, which have no understanding; Whose mouth must be held in with bit and bridle, That they come not near unto thee.
Psalm 32:10	Many are the sorrows of the wicked; But he that trusteth in the LORD, mercy compasseth him about.
Psalm 32:11	Be glad in the LORD, and rejoice, ye righteous; And shout for joy, all ye that are upright in heart.
Psalm 33:1	Rejoice in the LORD, O ye righteous, Praise is comely for the upright.
Psalm 33:2	Give thanks unto the LORD with harp, Sing praises unto Him with the psaltery of ten strings.
Psalm 33:3	Sing unto Him a new song; Play skilfully amid shouts of joy.
Psalm 33:4	For the word of the LORD is upright; And all His work is done in faithfulness.
Psalm 33:5	He loveth righteousness and justice; The earth is full of the lovingkindness of the LORD.
Psalm 33:6	By the word of the LORD were the heavens made; And all the host of them by the breath of His mouth.
Psalm 33:7	He gathereth the waters of the sea together as a heap; He layeth up the deeps in storehouses.
Psalm 33:8	Let all the earth fear the LORD; Let all the inhabitants of the world stand in awe of Him.
Psalm 33:9	For He spoke, and it was; He commanded, and it stood.
Psalm 33:10	The LORD bringeth the counsel of the nations to nought; He maketh the thoughts of the peoples to be of no effect.
Psalm 33:11	The counsel of the LORD standeth for ever, The thoughts of His heart to all generations.
Psalm 33:12	Happy is the nation whose God is the LORD; The people whom He hath chosen for His own inheritance.
Psalm 33:13	The LORD looketh from heaven; He beholdeth all the sons of men;
Psalm 33:14	From the place of His habitation He looketh intently Upon all the inhabitants of the earth;
Psalm 33:15	He that fashioneth the hearts of them all, That considereth all their doings.
Psalm 33:16	A king is not saved by the multitude of a host; A mighty man is not delivered by great strength.
Psalm 33:17	A horse is a vain thing for safety; Neither doth it afford escape by its great strength.
Psalm 33:18	Behold, the eye of the LORD is toward them that fear Him, Toward them that wait for His mercy;
Psalm 33:19	To deliver their soul from death, And to keep them alive in famine.
Psalm 33:20	Our soul hath waited for the LORD; He is our help and our shield.
Psalm 33:21	For in Him doth our heart rejoice, Because we have trusted in His holy name.
Psalm 33:22	Let Thy mercy, O LORD, be upon us, According as we have waited for Thee.
Psalm 34:1	[A Psalm] of David; when he changed his demeanour before Abimelech, who drove him away, and he departed. I will bless the LORD at all times; His praise shall continually be in my mouth.
Psalm 34:2	My soul shall glory in the LORD; The humble shall hear thereof, and be glad.
Psalm 34:3	O magnify the LORD with me, And let us exalt His name together.
Psalm 34:4	I sought the LORD, and He answered me, And delivered me from all my fears.
Psalm 34:5	They looked unto Him, and were radiant; And their faces shall never be abashed.
Psalm 34:6	This poor man cried, and the LORD heard, And saved him out of all his troubles.
Psalm 34:7	The angel of the LORD encampeth round about them that fear Him, And delivereth them.
Psalm 34:8	O consider and see that the LORD is good; Happy is the man that taketh refuge in Him.
Psalm 34:9	O fear the LORD, ye His holy ones; For there is no want to them that fear Him.
Psalm 34:10	The young lions do lack, and suffer hunger; But they that seek the LORD want not any good thing.
Psalm 34:11	Come, ye children, hearken unto me; I will teach you the fear of the LORD.
Psalm 34:12	Who is the man that desireth life, and loveth days, That he may see good therein?
Psalm 34:13	Keep thy tongue from evil, And thy lips from speaking guile.
Psalm 34:14	Depart from evil, and do good; Seek peace, and pursue it.
Psalm 34:15	The eyes of the LORD are toward the righteous, And His ears are open unto their cry.
Psalm 34:16	The face of the LORD is against them that do evil, To cut off the remembrance of them from the earth.
Psalm 34:17	 They cried, and the LORD heard, And delivered them out of all their troubles.
Psalm 34:18	The LORD is nigh unto them that are of a broken heart, And saveth such as are of a contrite spirit.
Psalm 34:19	Many are the ills of the righteous, But the LORD delivereth him out of them all.
Psalm 34:20	He keepeth all his bones; Not one of them is broken.
Psalm 34:21	Evil shall kill the wicked; And they that hate the righteous shall be held guilty.
Psalm 34:22	The LORD redeemeth the soul of His servants; And none of them that take refuge in Him shall be desolate.
Psalm 35:1	[A Psalm] of David. Strive, O LORD, with them that strive with me; Fight against them that fight against me.
Psalm 35:2	Take hold of shield and buckler, And rise up to my help.
Psalm 35:3	Draw out also the spear, and the battle-axe, against them that pursue me; Say unto my soul: ‘I am Thy salvation.’
Psalm 35:4	Let them be ashamed and brought to confusion that seek after my soul; Let them be turned back and be abashed that devise my hurt.
Psalm 35:5	Let them be as chaff before the wind, The angel of the LORD thrusting them.
Psalm 35:6	Let their way be dark and slippery, The angel of the LORD pursuing them.
Psalm 35:7	For without cause have they hid for me the pit, even their net, Without cause have they digged for my soul.
Psalm 35:8	Let destruction come upon him unawares; And let his net that he hath hid catch himself; With destruction let him fall therein.
Psalm 35:9	And my soul shall be joyful in the LORD; It shall rejoice in His salvation.
Psalm 35:10	All my bones shall say: ‘LORD, who is like unto Thee, Who deliverest the poor from him that is too strong for him, Yea, the poor and the needy from him that spoileth him?’
Psalm 35:11	Unrighteous witnesses rise up; They ask me of things that I know not.
Psalm 35:12	They repay me evil for good; Bereavement is come to my soul.
Psalm 35:13	But as for me, when they were sick, my clothing was sackcloth, I afflicted my soul with fasting; And my prayer, may it return into mine own bosom.
Psalm 35:14	I went about as though it had been my friend or my brother; I bowed down mournful, as one that mourneth for his mother.
Psalm 35:15	But when I halt they rejoice, and gather themselves together; The abjects gather themselves together against me, and those whom I know not; They tear me, and cease not;
Psalm 35:16	With the profanest mockeries of backbiting They gnash at me with their teeth.
Psalm 35:17	Lord, how long wilt Thou look on? Rescue my soul from their destructions, Mine only one from the lions.
Psalm 35:18	I will give Thee thanks in the great congregation; I will praise Thee among a numerous people.
Psalm 35:19	Let not them that are wrongfully mine enemies rejoice over me; Neither let them wink with the eye that hate me without a cause.
Psalm 35:20	For they speak not peace; But they devise deceitful matters against them that are quiet in the land.
Psalm 35:21	Yea, they open their mouth wide against me; They say: ‘Aha, aha, our eye hath seen it.’
Psalm 35:22	Thou hast seen, O LORD; keep not silence; O Lord, be not far from me.
Psalm 35:23	Rouse Thee, and awake to my judgment, Even unto my cause, my God and my Lord.
Psalm 35:24	Judge me, O LORD my God, according to Thy righteousness; And let them not rejoice over me.
Psalm 35:25	Let them not say in their heart: ‘Aha, we have our desire’; Let them not say: ‘We have swallowed him up.’
Psalm 35:26	Let them be ashamed and abashed together that rejoice at my hurt; Let them be clothed with shame and confusion that magnify themselves against me.
Psalm 35:27	Let them shout for joy, and be glad, that delight in my righteousness; Yea, let them say continually: ‘Magnified be the LORD, Who delighteth in the peace of His servant.’
Psalm 35:28	And my tongue shall speak of Thy righteousness, And of Thy praise all the day.
Psalm 36:1	For the Leader. [A Psalm] of David the servant of the LORD. Transgression speaketh to the wicked, methinks—There is no fear of God before his eyes.
Psalm 36:2	For it flattereth him in his eyes, Until his iniquity be found, and he be hated.
Psalm 36:3	The words of his mouth are iniquity and deceit; He hath left off to be wise, to do good.
Psalm 36:4	He deviseth iniquity upon his bed; He setteth himself in a way that is not good; He abhorreth not evil.
Psalm 36:5	Thy lovingkindness, O LORD, is in the heavens; Thy faithfulness reacheth unto the skies.
Psalm 36:6	Thy righteousness is like the mighty mountains; Thy judgments are like the great deep; Man and beast Thou preservest, O LORD.
Psalm 36:7	How precious is Thy lovingkindness, O God! And the children of men take refuge in the shadow of Thy wings.
Psalm 36:8	They are abundantly satisfied with the fatness of Thy house; And Thou makest them drink of the river of Thy pleasures.
Psalm 36:9	For with Thee is the fountain of life; In Thy light do we see light.
Psalm 36:10	O continue Thy lovingkindness unto them that know Thee; And Thy righteousness to the upright in heart.
Psalm 36:11	Let not the foot of pride overtake me, And let not the hand of the wicked drive me away.
Psalm 36:12	There are the workers of iniquity fallen; They are thrust down, and are not able to rise.
Psalm 37:1	[A Psalm] of David. Fret not thyself because of evil-doers, Neither be thou envious against them that work unrighteousness.
Psalm 37:2	For they shall soon wither like the grass, And fade as the green herb.
Psalm 37:3	Trust in the LORD, and do good; Dwell in the land, and cherish faithfulness.
Psalm 37:4	So shalt thou delight thyself in the LORD; And He shall give thee the petitions of thy heart.
Psalm 37:5	Commit thy way unto the LORD; Trust also in Him, and He will bring it to pass.
Psalm 37:6	And He will make thy righteousness to go forth as the light, And thy right as the noonday.
Psalm 37:7	Resign thyself unto the LORD, and wait patiently for Him; Fret not thyself because of him who prospereth in his way, Because of the man who bringeth wicked devices to pass.
Psalm 37:8	Cease from anger, and forsake wrath; Fret not thyself, it tendeth only to evil-doing.
Psalm 37:9	For evil-doers shall be cut off; But those that wait for the LORD, they shall inherit the land.
Psalm 37:10	And yet a little while, and the wicked is no more; Yea, thou shalt look well at his place, and he is not.
Psalm 37:11	But the humble shall inherit the land, And delight themselves in the abundance of peace.
Psalm 37:12	The wicked plotteth against the righteous, And gnasheth at him with his teeth.
Psalm 37:13	The Lord doth laugh at him; For He seeth that his day is coming.
Psalm 37:14	The wicked have drawn out the sword, and have bent their bow; To cast down the poor and needy, To slay such as are upright in the way;
Psalm 37:15	Their sword shall enter into their own heart, And their bows shall be broken.
Psalm 37:16	Better is a little that the righteous hath Than the abundance of many wicked.
Psalm 37:17	For the arms of the wicked shall be broken; But the LORD upholdeth the righteous.
Psalm 37:18	The LORD knoweth the days of them that are wholehearted; And their inheritance shall be for ever.
Psalm 37:19	They shall not be ashamed in the time of evil; And in the days of famine they shall be satisfied.
Psalm 37:20	For the wicked shall perish, And the enemies of the LORD shall be as the fat of lambs—They shall pass away in smoke, they shall pass away.
Psalm 37:21	The wicked borroweth, and payeth not; But the righteous dealeth graciously, and giveth.
Psalm 37:22	For such as are blessed of Him shall inherit the land; And they that are cursed of Him shall be cut off.
Psalm 37:23	It is of the LORD that a man’s goings are established; And He delighted in his way.
Psalm 37:24	Though he fall, he shall not be utterly cast down; For the LORD upholdeth his hand.
Psalm 37:25	I have been young, and now am old; Yet have I not seen the righteous forsaken, Nor his seed begging bread.
Psalm 37:26	All the day long he dealeth graciously, and lendeth; And his seed is blessed.
Psalm 37:27	Depart from evil, and do good; And dwell for evermore.
Psalm 37:28	For the LORD loveth justice, And forsaketh not His saints; They are preserved for ever; But the seed of the wicked shall be cut off.
Psalm 37:29	The righteous shall inherit the land, And dwell therein for ever.
Psalm 37:30	The mouth of the righteous uttereth wisdom, And his tongue speaketh justice.
Psalm 37:31	The law of his God is in his heart; None of his steps slide.
Psalm 37:32	The wicked watcheth the righteous, And seeketh to slay him.
Psalm 37:33	The LORD will not leave him in his hand, Nor suffer him to be condemned when he is judged.
Psalm 37:34	Wait for the LORD, and keep His way, And He will exalt thee to inherit the land; When the wicked are cut off, thou shalt see it.
Psalm 37:35	I have seen the wicked in great power, And spreading himself like a leafy tree in its native soil.
Psalm 37:36	But one passed by, and, lo, he was not; Yea, I sought him, but he could not be found.
Psalm 37:37	Mark the man of integrity, and behold the upright; For there is a future for the man of peace.
Psalm 37:38	But transgressors shall be destroyed together; The future of the wicked shall be cut off.
Psalm 37:39	But the salvation of the righteous is of the LORD; He is their stronghold in the time of trouble.
Psalm 37:40	And the LORD helpeth them, and delivereth them; He delivereth them from the wicked, and saveth them, Because they have taken refuge in Him.
Psalm 38:1	A Psalm of David, to make memorial. O LORD, rebuke me not in Thine anger; Neither chasten me in Thy wrath.
Psalm 38:2	For Thine arrows are gone deep into me, And Thy hand is come down upon me.
Psalm 38:3	There is no soundness in my flesh because of Thine indignation; Neither is there any health in my bones because of my sin.
Psalm 38:4	For mine iniquities are gone over my head; As a heavy burden they are too heavy for me.
Psalm 38:5	My wounds are noisome, they fester, Because of my foolishness.
Psalm 38:6	I am bent and bowed down greatly; I go mourning all the day.
Psalm 38:7	For my loins are filled with burning; And there is no soundness in my flesh.
Psalm 38:8	I am benumbed and sore crushed; I groan by reason of the moaning of my heart.
Psalm 38:9	Lord, all my desire is before Thee; And my sighing is not hid from Thee.
Psalm 38:10	My heart fluttereth, my strength faileth me; As for the light of mine eyes, it also is gone from me.
Psalm 38:11	My friends and my companions stand aloof from my plague; And my kinsmen stand afar off.
Psalm 38:12	They also that seek after my life lay snares for me; And they that seek my hurt speak crafty devices, And utter deceits all the day.
Psalm 38:13	But I am as a deaf man, I hear not; And I am as a dumb man that openeth not his mouth.
Psalm 38:14	Yea, I am become as a man that heareth not, And in whose mouth are no arguments.
Psalm 38:15	For in Thee, O LORD, do I hope; Thou wilt answer, O Lord my God.
Psalm 38:16	For I said: ‘Lest they rejoice over me; When my foot slippeth, they magnify themselves against me.’
Psalm 38:17	For I am ready to halt, And my pain is continually before me.
Psalm 38:18	For I do declare mine iniquity; I am full of care because of my sin.
Psalm 38:19	But mine enemies are strong in health; And they that hate me wrongfully are multiplied.
Psalm 38:20	They also that repay evil for good Are adversaries unto me, because I follow the thing that is good.
Psalm 38:21	Forsake me not, O LORD; O my God, be not far from me.
Psalm 38:22	Make haste to help me, O Lord, my salvation.
Psalm 39:1	For the Leader, for Jeduthun. A Psalm of David. I said: ‘I will take heed to my ways, That I sin not with my tongue; I will keep a curb upon my mouth, While the wicked is before me.’
Psalm 39:2	I was dumb with silence; I held my peace, had no comfort; And my pain was held in check.
Psalm 39:3	My heart waxed hot within me; While I was musing, the fire kindled; Then spoke I with my tongue:
Psalm 39:4	LORD, make me to know mine end, And the measure of my days, what it is; Let me know how short-lived I am.
Psalm 39:5	Behold, Thou hast made my days as hand-breadths; And mine age is as nothing before Thee; Surely every man at his best estate is altogether vanity. Selah
Psalm 39:6	Surely man walketh as a mere semblance; Surely for vanity they are in turmoil; He heapeth up riches, and knoweth not who shall gather them.
Psalm 39:7	And now, Lord, what wait I for? My hope, it is in Thee.
Psalm 39:8	Deliver me from all my transgressions; Make me not the reproach of the base.
Psalm 39:9	I am dumb, I open not my mouth; Because Thou hast done it.
Psalm 39:10	Remove Thy stroke from off me; I am consumed by the blow of Thy hand.
Psalm 39:11	With rebukes dost Thou chasten man for iniquity, And like a moth Thou makest his beauty to consume away; Surely every man is vanity. Selah
Psalm 39:12	Hear my prayer, O LORD, and give ear unto my cry; Keep not silence at my tears; For I am a stranger with Thee, A sojourner, as all my fathers were.
Psalm 39:13	Look away from me, that I may take comfort, Before I go hence, and be no more.’
Psalm 40:1	For the Leader. A Psalm of David. I waited patiently for the LORD; And He inclined unto me, and heard my cry.
Psalm 40:2	He brought me up also out of the tumultuous pit, out of the miry clay; And He set my feet upon a rock, He established my goings.
Psalm 40:3	And He hath put a new song in my mouth, even praise unto our God; Many shall see, and fear, And shall trust in the LORD.
Psalm 40:4	Happy is the man that hath made the LORD his trust, And hath not turned unto the arrogant, nor unto such as fall away treacherously.
Psalm 40:5	Many things hast Thou done, O LORD my God, Even Thy wonderful works, and Thy thoughts toward us; There is none to be compared unto Thee! If I would declare and speak of them, They are more than can be told.
Psalm 40:6	Sacrifice and meal-offering Thou hast no delight in; Mine ears hast Thou opened; Burnt-offering and sin-offering hast Thou not required.
Psalm 40:7	Then said I: ‘Lo, I am come With the roll of a book which is prescribed for me;
Psalm 40:8	I delight to do Thy will, O my God; Yea, Thy law is in my inmost parts.’
Psalm 40:9	I have preached righteousness in the great congregation, Lo, I did not refrain my lips; O LORD, Thou knowest.
Psalm 40:10	I have not hid Thy righteousness within my heart; I have declared Thy faithfulness and Thy salvation; I have not concealed Thy mercy and Thy truth from the great congregation.
Psalm 40:11	Thou, O LORD, wilt not withhold Thy compassions from me; Let Thy mercy and Thy truth continually preserve me.
Psalm 40:12	For innumerable evils have compassed me about, Mine iniquities have overtaken me, so that I am not able to look up; They are more than the hairs of my head, and my heart hath failed me.
Psalm 40:13	Be pleased, O LORD, to deliver me; O LORD, make haste to help me.
Psalm 40:14	Let them be ashamed and abashed together That seek after my soul to sweep it away; Let them be turned backward and brought to confusion That delight in my hurt.
Psalm 40:15	Let them be appalled by reason of their shame That say unto me: ‘Aha, aha.’
Psalm 40:16	Let all those that seek Thee rejoice and be glad in Thee; Let such as love Thy salvation say continually: ‘The LORD be magnified.’
Psalm 40:17	But, as for me, that am poor and needy, The Lord will account it unto me; Thou art my help and my deliverer; O my God, tarry not.
Psalm 41:1	For the Leader. A Psalm of David. Happy is he that considereth the poor; The LORD will deliver him in the day of evil.
Psalm 41:2	The LORD preserve him, and keep him alive, let him be called happy in the land; And deliver not Thou him unto the greed of his enemies.
Psalm 41:3	The LORD support him upon the bed of illness; Mayest Thou turn all his lying down in his sickness.
Psalm 41:4	As for me, I said: ‘O LORD, be gracious unto me; Heal my soul; for I have sinned against Thee.’
Psalm 41:5	Mine enemies speak evil of me: ‘When shall he die, and his name perish?’
Psalm 41:6	And if one come to see me, he speaketh falsehood; His heart gathereth iniquity to itself; When he goeth abroad, he speaketh of it.
Psalm 41:7	All that hate me whisper together against me, Against me do they devise my hurt:
Psalm 41:8	An evil thing cleaveth fast unto him; And now that he lieth, he shall rise up no more.’
Psalm 41:9	Yea, mine own familiar friend, in whom I trusted, who did eat of my bread, Hath lifted up his heel against me.
Psalm 41:10	But Thou, O LORD, be gracious unto me, and raise me up, That I may requite them.
Psalm 41:11	By this I know that Thou delightest in me, That mine enemy doth not triumph over me.
Psalm 41:12	And as for me, Thou upholdest me because of mine integrity, And settest me before Thy face for ever.
Psalm 41:13	Blessed be the LORD, the God of Israel, From everlasting and to everlasting. Amen, and Amen.
Psalm 42:1	For the Leader; Maschil of the sons of Korah. As the hart panteth after the water brooks, So panteth my soul after Thee, O God.
Psalm 42:2	My soul thirsteth for God, for the living God: ‘When shall I come and appear before God?’
Psalm 42:3	My tears have been my food day and night, While they say unto me all the day: ‘Where is Thy God?’
Psalm 42:4	These things I remember, and pour out my soul within me, How I passed on with the throng, and led them to the house of God, With the voice of joy and praise, a multitude keeping holyday.
Psalm 42:5	Why art thou cast down, O my soul? And why moanest thou within me? Hope thou in God; for I shall yet praise Him For the salvation of His countenance.
Psalm 42:6	O my God, my soul is cast down within me; Therefore do I remember Thee from the land of Jordan, And the Hermons, from the hill Mizar.
Psalm 42:7	Deep calleth unto deep at the voice of Thy cataracts; All Thy waves and Thy billows are gone over me.
Psalm 42:8	By day the LORD will command His lovingkindness, And in the night His song shall be with me, Even a prayer unto the God of my life.
Psalm 42:9	I will say unto God my Rock: ‘Why hast Thou forgotten me? Why go I mourning under the oppression of the enemy?’
Psalm 42:10	As with a crushing in my bones, mine adversaries taunt me; While they say unto me all the day: ‘Where is Thy God?’
Psalm 42:11	Why art thou cast down, O my soul? And why moanest thou within me? Hope thou in God; for I shall yet praise Him, The salvation of my countenance, and my God.
Psalm 43:1	Be Thou my judge, O God, and plead my cause against an ungodly nation; O deliver me from the deceitful and unjust man.
Psalm 43:2	For Thou art the God of my strength; why hast Thou cast me off? Why go I mourning under the oppression of the enemy?
Psalm 43:3	O send out Thy light and Thy truth; let them lead me; Let them bring me unto Thy holy mountain, and to Thy dwelling-places.
Psalm 43:4	Then will I go unto the altar of God, unto God, my exceeding joy; And praise Thee upon the harp, O God, my God.
Psalm 43:5	Why art thou cast down, O my soul? And why moanest thou within me? Hope thou in God; for I shall yet praise Him, The salvation of my countenance, and my God.
Psalm 44:1	For the Leader; [a Psalm] of the sons of Korah. Maschil. O God, we have heard with our ears, our fathers have told us; A work Thou didst in their days, in the days of old.
Psalm 44:2	Thou with Thy hand didst drive out the nations, and didst plant them in; Thou didst break the peoples, and didst spread them abroad.
Psalm 44:3	For not by their own sword did they get the land in possession, Neither did their own arm save them; But Thy right hand, and Thine arm, and the light of Thy countenance, Because Thou wast favourable unto them.
Psalm 44:4	Thou art my King, O God; Command the salvation of Jacob.
Psalm 44:5	Through Thee do we push down our adversaries; Through Thy name do we tread them under that rise up against us.
Psalm 44:6	For I trust not in my bow, Neither can my sword save me.
Psalm 44:7	But Thou hast saved us from our adversaries, And hast put them to shame that hate us.
Psalm 44:8	In God have we gloried all the day, And we will give thanks unto Thy name for ever. Selah
Psalm 44:9	Yet Thou hast cast off, and brought us to confusion; And goest not forth with our hosts.
Psalm 44:10	Thou makest us to turn back from the adversary; And they that hate us spoil at their will.
Psalm 44:11	Thou hast given us like sheep to be eaten; And hast scattered us among the nations.
Psalm 44:12	Thou sellest Thy people for small gain, And hast not set their prices high.
Psalm 44:13	Thou makest us a taunt to our neighbours, A scorn and a derision to them that are round about us.
Psalm 44:14	Thou makest us a byword among the nations, A shaking of the head among the peoples.
Psalm 44:15	All the day is my confusion before me, And the shame of my face hath covered me,
Psalm 44:16	For the voice of him that taunteth and blasphemeth; By reason of the enemy and the revengeful.
Psalm 44:17	All this is come upon us; yet have we not forgotten Thee, Neither have we been false to Thy covenant.
Psalm 44:18	Our heart is not turned back, Neither have our steps declined from Thy path;
Psalm 44:19	Though Thou hast crushed us into a place of jackals, And covered us with the shadow of death.
Psalm 44:20	If we had forgotten the name of our God, Or spread forth our hands to a strange god;
Psalm 44:21	Would not God search this out? For He knoweth the secrets of the heart.
Psalm 44:22	Nay, but for Thy sake are we killed all the day; We are accounted as sheep for the slaughter.
Psalm 44:23	Awake, why sleepest Thou, O Lord? Arouse Thyself, cast not off for ever.
Psalm 44:24	Wherefore hidest Thou Thy face, And forgettest our affliction and our oppression?
Psalm 44:25	For our soul is bowed down to the dust; Our belly cleaveth unto the earth.
Psalm 44:26	Arise for our help, And redeem us for Thy mercy’s sake.
Psalm 45:1	For the Leader; upon Shoshannim; [a Psalm] of the sons of Korah. Maschil. A Song of loves. My heart overfloweth with a goodly matter; I say: ‘My work is concerning a king’; My tongue is the pen of a ready writer.
Psalm 45:2	Thou art fairer than the children of men; Grace is poured upon thy lips; Therefore God hath blessed thee for ever.
Psalm 45:3	Gird thy sword upon thy thigh, O mighty one, Thy glory and thy majesty.
Psalm 45:4	And in thy majesty prosper, ride on, In behalf of truth and meekness and righteousness; And let thy right hand teach thee tremendous things.
Psalm 45:5	Thine arrows are sharp—The peoples fall under thee—[They sink] into the heart of the king’s enemies.
Psalm 45:6	Thy throne given of God is for ever and ever; A sceptre of equity is the sceptre of thy kingdom.
Psalm 45:7	Thou hast loved righteousness, and hated wickedness; Therefore God, thy God, hath anointed thee With the oil of gladness above thy fellows.
Psalm 45:8	Myrrh, and aloes, and cassia are all thy garments; Out of ivory palaces stringed instruments have made thee glad.
Psalm 45:9	Kings’ daughters are among thy favourites; At thy right hand doth stand the queen in gold of Ophir.
Psalm 45:10	Hearken, O daughter, and consider, and incline thine ear; Forget also thine own people, and thy father’s house;
Psalm 45:11	So shall the king desire thy beauty; For he is thy lord; and do homage unto him.
Psalm 45:12	And, O daughter of Tyre, the richest of the people Shall entreat thy favour with a gift.’
Psalm 45:13	All glorious is the king’s daughter within the palace; Her raiment is of chequer work inwrought with gold.
Psalm 45:14	She shall be led unto the king on richly woven stuff; The virgins her companions in her train being brought unto thee.
Psalm 45:15	They shall be led with gladness and rejoicing; They shall enter into the king’s palace.
Psalm 45:16	Instead of thy fathers shall be thy sons, Whom thou shalt make princes in all the land.
Psalm 45:17	I will make thy name to be remembered in all generations; Therefore shall the peoples praise thee for ever and ever.
Psalm 46:1	For the Leader; [a Psalm] of the sons of Korah; upon Alamoth. A Song. God is our refuge and strength, A very present help in trouble.
Psalm 46:2	Therefore will we not fear, though the earth do change, And though the mountains be moved into the heart of the seas;
Psalm 46:3	Though the waters thereof roar and foam, Though the mountains shake at the swelling thereof. Selah
Psalm 46:4	There is a river, the streams whereof make glad the city of God, The holiest dwelling-place of the Most High.
Psalm 46:5	God is in the midst of her, she shall not be moved; God shall help her, at the approach of morning.
Psalm 46:6	Nations were in tumult, kingdoms were moved; He uttered His voice, the earth melted.
Psalm 46:7	The LORD of hosts is with us; The God of Jacob is our high tower. Selah
Psalm 46:8	Come, behold the works of the LORD, Who hath made desolations in the earth.
Psalm 46:9	He maketh wars to cease unto the end of the earth; He breaketh the bow, and cutteth the spear in sunder; He burneth the chariots in the fire.
Psalm 46:10	Let be, and know that I am God; I will be exalted among the nations, I will be exalted in the earth.’
Psalm 46:11	The LORD of hosts is with us; The God of Jacob is our high tower. Selah
Psalm 47:1	For the Leader; a Psalm of the sons of Korah. O clap your hands, all ye peoples; Shout unto God with the voice of triumph.
Psalm 47:2	For the LORD is most high, awful; A great King over all the earth.
Psalm 47:3	He subdueth peoples under us, And nations under our feet.
Psalm 47:4	He chooseth our inheritance for us, The pride of Jacob whom He loveth. Selah
Psalm 47:5	God is gone up amidst shouting, The LORD amidst the sound of the horn.
Psalm 47:6	Sing praises to God, sing praises; Sing praises unto our King, sing praises.
Psalm 47:7	For God is the King of all the earth; Sing ye praises in a skilful song.
Psalm 47:8	God reigneth over the nations; God sitteth upon His holy throne.
Psalm 47:9	The princes of the peoples are gathered together, The people of the God of Abraham; For unto God belong the shields of the earth; He is greatly exalted.
Psalm 48:1	A Song; a Psalm of the sons of Korah. Great is the LORD, and highly to be praised, In the city of our God, His holy mountain,
