1	And Job answereth Jehovah and saith:—
Psalm 34:2	In Jehovah doth my soul boast herself, Hear do the humble and rejoice.
Psalm 34:3	Ascribe ye greatness to Jehovah with me, And we exalt His name together.
Psalm 34:4	I sought Jehovah, and He answered me, And from all my fears did deliver me.
Psalm 34:5	They looked expectingly unto Him, And they became bright, And their faces are not ashamed.
Psalm 34:6	This poor one called, and Jehovah heard, And from all his distresses saved him.
Psalm 34:7	A messenger of Jehovah is encamping, Round about those who fear Him, And He armeth them.
Psalm 34:8	Taste ye and see that Jehovah is good, O the happiness of the man who trusteth in Him.
Psalm 34:9	Fear Jehovah, ye His holy ones, For there is no lack to those fearing Him.
Psalm 34:10	Young lions have lacked and been hungry, And those seeking Jehovah lack not any good,
Psalm 34:11	Come ye, children, hearken to me, The fear of Jehovah I do teach you.
Psalm 34:12	Who is the man that is desiring life? Loving days to see good?
Psalm 34:13	Keep thy tongue from evil, And thy lips from speaking deceit.
Psalm 34:14	Turn aside from evil and do good, Seek peace and pursue it.
Psalm 34:15	The eyes of Jehovah are unto the righteous, And His ears unto their cry.
Psalm 34:16	(The face of Jehovah is on doers of evil, To cut off from earth their memorial.)
Psalm 34:17	They cried, and Jehovah heard, And from all their distresses delivered them.
Psalm 34:18	Near is Jehovah to the broken of heart, And the bruised of spirit He saveth.
Psalm 34:19	Many are the evils of the righteous, Out of them all doth Jehovah deliver him.
Psalm 34:20	He is keeping all his bones, One of them hath not been broken.
Psalm 34:21	Evil doth put to death the wicked, And those hating the righteous are desolate.
Psalm 34:22	Jehovah redeemeth the soul of His servants, And none trusting in Him are desolate!
Psalm 35:1	By David. Strive, Jehovah, with my strivers, fight with my fighters,
Psalm 35:2	Take hold of shield and buckler, and rise for my help,
Psalm 35:3	And draw out spear and lance, To meet my pursuers. Say to my soul, ‘Thy salvation I am.’
Psalm 35:4	They are ashamed and blush, those seeking my soul, Turned backward and confounded, Those devising my evil.
Psalm 35:5	They are as chaff before wind, And a messenger of Jehovah driving away.
Psalm 35:6	Their way is darkness and slipperiness, And a messenger of Jehovah their pursuer.
Psalm 35:7	For without cause they hid for me their netpit, Without cause they digged for my soul.
Psalm 35:8	Meet him doth desolation—he knoweth not, And his net that he hid catcheth him, For desolation he falleth into it.
Psalm 35:9	And my soul is joyful in Jehovah, It rejoiceth in His salvation.
Psalm 35:10	All my bones say, ‘Jehovah, who is like Thee, Delivering the poor from the stronger than he, And the poor and needy from his plunderer.’
Psalm 35:11	Violent witnesses rise up, That which I have not known they ask me.
Psalm 35:12	They pay me evil for good, bereaving my soul,
Psalm 35:13	And I—in their sickness my clothing is sackcloth, I have humbled with fastings my soul, And my prayer unto my bosom returneth.
Psalm 35:14	As if a friend, as if my brother, I walked habitually, As a mourner for a mother, Mourning I have bowed down.
Psalm 35:15	And—in my halting they have rejoiced, And have been gathered together, Gathered against me were the smiters, And I have not known, They have rent, and they have not ceased;
Psalm 35:16	With profane ones, mockers in feasts, Gnashing against me their teeth.
Psalm 35:17	Lord, how long dost thou behold? Keep back my soul from their desolations, From young lions my only one.
Psalm 35:18	I thank Thee in a great assembly, Among a mighty people I praise Thee.
Psalm 35:19	Mine enemies rejoice not over me with falsehood, Those hating me without cause wink the eye.
Psalm 35:20	For they speak not peace, And against the quiet of the land, Deceitful words they devise,
Psalm 35:21	And they enlarge against me their mouth, They said, ‘Aha, aha, our eye hath seen.’
Psalm 35:22	Thou hast seen, O Jehovah, Be not silent, O Lord—be not far from me,
Psalm 35:23	Stir up, and wake to my judgment, My God, and my Lord, to my plea.
Psalm 35:24	Judge me according to Thy righteousness, O Jehovah my God, And they do not rejoice over me.
Psalm 35:25	They do not say in their heart, ‘Aha, our desire.’ They do not say, ‘We swallowed him up.’
Psalm 35:26	They are ashamed and confounded together, Who are rejoicing at my evil. They put on shame and confusion, Who are magnifying themselves against me.
Psalm 35:27	They sing and rejoice, who are desiring my righteousness, And they say continually, ‘Jehovah is magnified, Who is desiring the peace of His servant.’
Psalm 35:28	And my tongue uttereth Thy righteousness, All the day Thy praise!
Psalm 36:1	To the Overseer.—By a servant of Jehovah, by David. The transgression of the wicked Is affirming within my heart, ‘Fear of God is not before his eyes,
Psalm 36:2	For he made it smooth to himself in his eyes, To find his iniquity to be hated.
Psalm 36:3	The words of his mouth are iniquity and deceit, He ceased to act prudently—to do good.
Psalm 36:4	Iniquity he deviseth on his bed, He stationeth himself on a way not good, Evil he doth not refuse.’
Psalm 36:5	O Jehovah, in the heavens is Thy kindness, Thy faithfulness is unto the clouds.
Psalm 36:6	Thy righteousness is as mountains of God, Thy judgments are a great deep. Man and beast Thou savest, O Jehovah.
Psalm 36:7	How precious is Thy kindness, O God, And the sons of men In the shadow of Thy wings do trust.
Psalm 36:8	They are filled from the fatness of Thy house, And the stream of Thy delights Thou dost cause them to drink.
Psalm 36:9	For with Thee is a fountain of life, In Thy light we see light.
Psalm 36:10	Draw out Thy kindness to those knowing Thee, And Thy righteousness to the upright of heart.
Psalm 36:11	Let not a foot of pride meet me, And a hand of the wicked let not move me.
Psalm 36:12	There have workers of iniquity fallen, They have been overthrown, And have not been able to arise!
Psalm 37:1	By David. Do not fret because of evil doers, Be not envious against doers of iniquity,
Psalm 37:2	For as grass speedily they are cut off, And as the greenness of the tender grass do fade.
Psalm 37:3	Trust in Jehovah, and do good, Dwell in the land, and enjoy faithfulness,
Psalm 37:4	And delight thyself on Jehovah, And He giveth to thee the petitions of thy heart.
Psalm 37:5	Roll on Jehovah thy way, And trust upon Him, and He worketh,
Psalm 37:6	And hath brought out as light thy righteousness, And thy judgment as noon-day.
Psalm 37:7	Be silent for Jehovah, and stay thyself for Him, Do not fret because of him Who is making prosperous his way, Because of a man doing wicked devices.
Psalm 37:8	Desist from anger, and forsake fury, Fret not thyself only to do evil.
Psalm 37:9	For evil doers are cut off, As to those waiting on Jehovah, they possess the land.
Psalm 37:10	And yet a little, and the wicked is not, And thou hast considered his place, and it is not.
Psalm 37:11	And the humble do possess the land, And they have delighted themselves In the abundance of peace.
Psalm 37:12	The wicked is devising against the righteous, And gnashing against him his teeth.
Psalm 37:13	The Lord doth laugh at him, For He hath seen that his day cometh.
Psalm 37:14	A sword have the wicked opened, And they have trodden their bow, To cause to fall the poor and needy, To slaughter the upright of the way.
Psalm 37:15	Their sword doth enter into their own heart, And their bows are shivered.
Psalm 37:16	Better is the little of the righteous, Than the store of many wicked.
Psalm 37:17	For the arms of the wicked are shivered, And Jehovah is sustaining the righteous.
Psalm 37:18	Jehovah knoweth the days of the perfect, And their inheritance is—to the age.
Psalm 37:19	They are not ashamed in a time of evil, And in days of famine they are satisfied.
Psalm 37:20	But the wicked perish, and the enemies of Jehovah, As the preciousness of lambs, Have been consumed, In smoke they have been consumed.
Psalm 37:21	The wicked is borrowing and repayeth not, And the righteous is gracious and giving.
Psalm 37:22	For His blessed ones do possess the land, And His reviled ones are cut off.
Psalm 37:23	From Jehovah are the steps of a man, They have been prepared, And his way he desireth.
Psalm 37:24	When he falleth, he is not cast down, For Jehovah is sustaining his hand.
Psalm 37:25	Young I have been, I have also become old, And I have not seen the righteous forsaken, And his seed seeking bread.
Psalm 37:26	All the day he is gracious and lending, And his seed is for a blessing.
Psalm 37:27	Turn aside from evil, and do good, and dwell to the age.
Psalm 37:28	For Jehovah is loving judgment, And He doth not forsake His saintly ones, To the age they have been kept, And the seed of the wicked is cut off.
Psalm 37:29	The righteous possess the land, And they dwell for ever on it.
Psalm 37:30	The mouth of the righteous uttereth wisdom, And his tongue speaketh judgment.
Psalm 37:31	The law of his God is his heart, His steps do not slide.
Psalm 37:32	The wicked is watching for the righteous, And is seeking to put him to death.
Psalm 37:33	Jehovah doth not leave him in his hand, Nor condemn him in his being judged.
Psalm 37:34	Look unto Jehovah, and keep His way, And He doth exalt thee to possess the land, In the wicked being cut off—thou seest!
Psalm 37:35	I have seen the wicked terrible, And spreading as a green native plant,
Psalm 37:36	And he passeth away, and lo, he is not, And I seek him, and he is not found!
Psalm 37:37	Observe the perfect, and see the upright, For the latter end of each is peace.
Psalm 37:38	And transgressors were destroyed together, The latter end of the wicked was cut off.
Psalm 37:39	And the salvation of the righteous is from Jehovah, Their strong place in a time of adversity.
Psalm 37:40	And Jehovah doth help them and deliver them, He delivereth them from the wicked, And saveth them, Because they trusted in Him!
Psalm 38:1	A Psalm of David, ‘To cause to remember.’ Jehovah, in Thy wrath reprove me not, Nor in Thy fury chastise me.
Psalm 38:2	For Thine arrows have come down on me, And Thou lettest down upon me Thy hand.
Psalm 38:3	Soundness is not in my flesh, Because of Thine indignation, Peace is not in my bones because of my sin.
Psalm 38:4	For mine iniquities have passed over my head, As a heavy burden—too heavy for me.
Psalm 38:5	Stunk—become corrupt have my wounds, Because of my folly.
Psalm 38:6	I have been bent down, I have been bowed down—unto excess, All the day I have gone mourning.
Psalm 38:7	For my flanks have been full of drought, And soundness is not in my flesh.
Psalm 38:8	I have been feeble and smitten—unto excess, I have roared from disquietude of heart.
Psalm 38:9	Lord, before Thee is all my desire, And my sighing from Thee hath not been hid.
Psalm 38:10	My heart is panting, my power hath forsaken me, And the light of mine eyes, Even they are not with me.
Psalm 38:11	My lovers and my friends over-against my plague stand. And my neighbours afar off have stood.
Psalm 38:12	And those seeking my soul lay a snare, And those seeking my evil Have spoken mischievous things, And they do deceits meditate all the day.
Psalm 38:13	And I, as deaf, hear not. And as a dumb one who openeth not his mouth.
Psalm 38:14	Yea, I am as a man who heareth not, And in his mouth are no reproofs.
Psalm 38:15	Because for Thee, O Jehovah, I have waited, Thou dost answer, O Lord my God.
Psalm 38:16	When I said, ‘Lest they rejoice over me, In the slipping of my foot against me they magnified themselves.
Psalm 38:17	For I am ready to halt, And my pain is before me continually.
Psalm 38:18	For mine iniquity I declare, I am sorry for my sin.
Psalm 38:19	And mine enemies are lively, They have been strong, and those hating me without cause, Have been multiplied.
Psalm 38:20	And those paying evil for good accuse me, Because of my pursuing good.
Psalm 38:21	Do not forsake me, O Jehovah, My God, be not far from me,
Psalm 38:22	Haste to help me, O Lord, my salvation!
Psalm 39:1	To the Overseer, to Jeduthun.—A Psalm of David. I have said, ‘I observe my ways, Against sinning with my tongue, I keep for my mouth a curb, while the wicked is before me.’
Psalm 39:2	I was dumb with silence, I kept silent from good, and my pain is excited.
Psalm 39:3	Hot is my heart within me, In my meditating doth the fire burn, I have spoken with my tongue.
Psalm 39:4	Cause me to know, O Jehovah, mine end, And the measure of my days—what it is,’ I know how frail I am.
Psalm 39:5	Lo, handbreadths Thou hast made my days, And mine age is as nothing before Thee, Only, all vanity is every man set up. Selah.
Psalm 39:6	Only, in an image doth each walk habitually, Only, in vain, they are disquieted, He heapeth up and knoweth not who gathereth them.
Psalm 39:7	And, now, what have I expected? O Lord, my hope—it is of Thee.
Psalm 39:8	From all my transgressions deliver me, A reproach of the fool make me not.
Psalm 39:9	I have been dumb, I open not my mouth, Because Thou—Thou hast done it.
Psalm 39:10	Turn aside from off me Thy stroke, From the striving of Thy hand I have been consumed.
Psalm 39:11	With reproofs against iniquity, Thou hast corrected man, And dost waste as a moth his desirableness, Only, vanity is every man. Selah.
Psalm 39:12	Hear my prayer, O Jehovah, And to my cry give ear, Unto my tear be not silent, For a sojourner I am with Thee, A settler like all my fathers.
Psalm 39:13	Look from me, and I brighten up before I go and am not!
Psalm 40:1	To the Overseer.—A Psalm of David. I have diligently expected Jehovah, And He inclineth to me, and heareth my cry,
Psalm 40:2	And He doth cause me to come up From a pit of desolation—from mire of mud, And He raiseth up on a rock my feet, He is establishing my steps.
Psalm 40:3	And He putteth in my mouth a new song, ‘Praise to our God.’ Many do see and fear, and trust in Jehovah.
Psalm 40:4	O the happiness of the man Who hath made Jehovah his trust, And hath not turned unto the proud, And those turning aside to lies.
Psalm 40:5	Much hast Thou done, Jehovah my God; Thy wonders and Thy thoughts toward us, There is none to arrange unto Thee, I declare and speak: They have been more than to be numbered.
Psalm 40:6	Sacrifice and present Thou hast not desired, Ears Thou hast prepared for me, Burnt and sin-offering Thou hast not asked.
Psalm 40:7	Then said I, ‘Lo, I have come,’ In the roll of the book it is written of me,
Psalm 40:8	To do Thy pleasure, my God, I have delighted, And Thy law is within my heart.
Psalm 40:9	I have proclaimed tidings of righteousness In the great assembly, lo, my lips I restrain not, O Jehovah, Thou hast known.
Psalm 40:10	Thy righteousness I have not concealed In the midst of my heart, Thy faithfulness and Thy salvation I have told, I have not hidden Thy kindness and Thy truth, To the great assembly.
Psalm 40:11	Thou, O Jehovah, restrainest not Thy mercies from me, Thy kindness and Thy truth do continually keep me.
Psalm 40:12	For compassed me have evils innumerable, Overtaken me have mine iniquities, And I have not been able to see; They have been more than the hairs of my head, And my heart hath forsaken me.
Psalm 40:13	Be pleased, O Jehovah, to deliver me, O Jehovah, for my help make haste.
Psalm 40:14	They are ashamed and confounded together, Who are seeking my soul to destroy it, They are turned backward, And are ashamed, who are desiring my evil.
Psalm 40:15	They are desolate because of their shame, Who are saying to me, ‘Aha, aha.’
Psalm 40:16	All seeking Thee rejoice and are glad in Thee, Those loving Thy salvation say continually, ‘Jehovah is magnified.’
Psalm 40:17	And I am poor and needy, The Lord doth devise for me. My help and my deliverer art Thou, O my God, tarry Thou not.
Psalm 41:1	To the Overseer.—A Psalm of David. O the happiness of him Who is acting wisely unto the poor, In a day of evil doth Jehovah deliver him.
Psalm 41:2	Jehovah doth preserve him and revive him, He is happy in the land, And Thou givest him not into the will of his enemies.
Psalm 41:3	Jehovah supporteth on a couch of sickness, All his bed Thou hast turned in his weakness.
Psalm 41:4	I—I said, ‘O Jehovah, favour me, Heal my soul, for I did sin against Thee,’
Psalm 41:5	Mine enemies say evil of me: When he dieth—his name hath perished!
Psalm 41:6	And if he came to see—vanity he speaketh, His heart gathereth iniquity to itself, He goeth out—at the street he speaketh.
Psalm 41:7	All hating me whisper together against me, Against me they devise evil to me:
Psalm 41:8	A thing of Belial is poured out on him, And because he lay down he riseth not again.
Psalm 41:9	Even mine ally, in whom I trusted, One eating my bread, made great the heel against me,
Psalm 41:10	And Thou, Jehovah, favour me, And cause me to rise, And I give recompence to them.
Psalm 41:11	By this I have known, That Thou hast delighted in me, Because my enemy shouteth not over me.
Psalm 41:12	As to me, in mine integrity, Thou hast taken hold upon me, And causest me to stand before Thee to the age.
Psalm 41:13	Blessed is Jehovah, God of Israel, From the age—and unto the age. Amen and Amen.
Psalm 42:1	To the Overseer.—An Instruction. By sons of Korah. As a hart doth pant for streams of water, So my soul panteth toward Thee, O God.
Psalm 42:2	My soul thirsted for God, for the living God, When do I enter and see the face of God?
Psalm 42:3	My tear hath been to me bread day and night, In their saying unto me all the day, ‘Where is thy God?’
Psalm 42:4	These I remember, and pour out my soul in me, For I pass over into the booth, I go softly with them unto the house of God, With the voice of singing and confession, The multitude keeping feast!
Psalm 42:5	What! bowest thou thyself, O my soul? Yea, art thou troubled within me? Wait for God, for still I confess Him: The salvation of my countenance—My God!
Psalm 42:6	In me doth my soul bow itself, Therefore I remember Thee from the land of Jordan, And of the Hermons, from the hill Mizar.
Psalm 42:7	Deep unto deep is calling At the noise of Thy water-spouts, All Thy breakers and Thy billows passed over me.
Psalm 42:8	By day Jehovah commandeth His kindness, And by night a song is with me, A prayer to the God of my life.
Psalm 42:9	I say to God my rock, ‘Why hast Thou forgotten me? Why go I mourning in the oppression of an enemy?
Psalm 42:10	With a sword in my bones Have mine adversaries reproached me, In their saying unto me all the day, ‘Where is thy God?’
Psalm 42:11	What! bowest thou thyself, O my soul? And what! art thou troubled within me? Wait for God, for still I confess Him, The salvation of my countenance, and my God!
Psalm 43:1	Judge me, O God, And plead my cause against a nation not pious, From a man of deceit and perverseness Thou dost deliver me,
Psalm 43:2	For thou art the God of my strength. Why hast Thou cast me off? Why mourning do I go up and down, In the oppression of an enemy?
Psalm 43:3	Send forth Thy light and Thy truth, They—they lead me, they bring me in, Unto Thy holy hill, and unto Thy tabernacles.
Psalm 43:4	And I go in unto the altar of God, Unto God, the joy of my rejoicing. And I thank Thee with a harp, O God, my God.
Psalm 43:5	What! bowest thou thyself, O my soul? And what! art thou troubled within me? Wait for God, for still I confess Him, The salvation of my countenance, and my God!
Psalm 44:1	To the Overseer.—By sons of Korah. An Instruction. O God, with our ears we have heard, Our fathers have recounted to us, The work Thou didst work in their days, In the days of old.
Psalm 44:2	Thou, with Thy hand, nations hast dispossessed. And Thou dost plant them. Thou afflictest peoples, and sendest them away.
Psalm 44:3	For, not by their sword Possessed they the land, And their arm gave not salvation to them, But Thy right hand, and Thine arm, And the light of Thy countenance, Because Thou hadst accepted them.
Psalm 44:4	Thou art He, my king, O God, Command the deliverances of Jacob.
Psalm 44:5	By Thee our adversaries we do push, By Thy name tread down our withstanders,
Psalm 44:6	For, not in my bow do I trust, And my sword doth not save me.
Psalm 44:7	For Thou hast saved us from our adversaries, And those hating us Thou hast put to shame.
Psalm 44:8	In God we have boasted all the day, And Thy name to the age we thank. Selah.
Psalm 44:9	In anger Thou hast cast off and causest us to blush, And goest not forth with our hosts.
Psalm 44:10	Thou causest us to turn backward from an adversary, And those hating us, Have spoiled for themselves.
Psalm 44:11	Thou makest us food like sheep, And among nations Thou hast scattered us.
Psalm 44:12	Thou sellest Thy people—without wealth, And hast not become great by their price.
Psalm 44:13	Thou makest us a reproach to our neighbours, A scorn and a reproach to our surrounders.
Psalm 44:14	Thou makest us a simile among nations, A shaking of the head among peoples.
Psalm 44:15	All the day my confusion is before me, And the shame of my face hath covered me.
Psalm 44:16	Because of the voice of a reproacher and reviler, Because of an enemy and a self-avenger.
Psalm 44:17	All this met us, and we did not forget Thee, Nor have we dealt falsely in Thy covenant.
Psalm 44:18	We turn not backward our heart, Nor turn aside doth our step from Thy path.
Psalm 44:19	But Thou hast smitten us in a place of dragons, And dost cover us over with death-shade.
Psalm 44:20	If we have forgotten the name of our God, And spread our hands to a strange God,
Psalm 44:21	Doth not God search out this? For He knoweth the secrets of the heart.
Psalm 44:22	Surely, for Thy sake we have been slain all the day, Reckoned as sheep of the slaughter.
Psalm 44:23	Stir up—why dost Thou sleep, O Lord? Awake, cast us not off for ever.
Psalm 44:24	Why Thy face hidest Thou? Thou forgettest our afflictions and our oppression,
Psalm 44:25	For bowed to the dust hath our soul, Cleaved to the earth hath our belly.
Psalm 44:26	Arise, a help to us, And ransom us for thy kindness’ sake.
Psalm 45:1	To the Overseer.—‘On the Lilies.’—By sons of Korah.—An Instruction.—A song of loves. My heart hath indited a good thing, I am telling my works to a king, My tongue is the pen of a speedy writer.
Psalm 45:2	Thou hast been beautified above the sons of men, Grace hath been poured into thy lips, Therefore hath God blessed thee to the age.
Psalm 45:3	Gird Thy sword upon the thigh, O mighty, Thy glory and Thy majesty!
Psalm 45:4	As to Thy majesty—prosper!—ride! Because of truth, and meekness—righteousness, And Thy right hand showeth Thee fearful things.
Psalm 45:5	Thine arrows are sharp,—Peoples fall under Thee—In the heart of the enemies of the king.
Psalm 45:6	Thy throne, O God, is age-during, and for ever, A sceptre of uprightness Is the sceptre of Thy kingdom.
Psalm 45:7	Thou hast loved righteousness and hatest wickedness, Therefore God, thy God, hath anointed thee, Oil of joy above thy companions.
Psalm 45:8	Myrrh and aloes, cassia! all thy garments, Out of palaces of ivory Stringed instruments have made thee glad.
Psalm 45:9	Daughters of kings are among thy precious ones, A queen hath stood at thy right hand, In pure gold of Ophir.
Psalm 45:10	Hearken, O daughter, and see, incline thine ear, And forget thy people, and thy father’s house,
Psalm 45:11	And the king doth desire thy beauty, Because he is thy lord—bow thyself to him,
Psalm 45:12	And the daughter of Tyre with a present, The rich of the people do appease thy face.
Psalm 45:13	All glory is the daughter of the king within, Of gold-embroidered work is her clothing.
Psalm 45:14	In divers colours she is brought to the king, Virgins—after her—her companions, Are brought to thee.
Psalm 45:15	They are brought with joy and gladness, They come into the palace of the king.
Psalm 45:16	Instead of thy fathers are thy sons, Thou dost appoint them for princes in all the earth.
Psalm 45:17	I make mention of Thy name in all generations, Therefore do peoples praise Thee, To the age, and for ever!
Psalm 46:1	To the Overseer.—By sons of Korah. ‘For the Virgins.’—A song. God is to us a refuge and strength, A help in adversities found most surely.
Psalm 46:2	Therefore we fear not in the changing of earth, And in the slipping of mountains Into the heart of the seas.
Psalm 46:3	Roar—troubled are its waters, Mountains they shake in its pride. Selah.
Psalm 46:4	A river—its rivulets rejoice the city of God, Thy holy place of the tabernacles of the Most High.
Psalm 46:5	God is in her midst—she is not moved, God doth help her at the turn of the morn!
Psalm 46:6	Troubled have been nations, Moved have been kingdoms, He hath given forth with His voice, earth melteth.
Psalm 46:7	Jehovah of Hosts is with us, A tower for us is the God of Jacob. Selah.
Psalm 46:8	Come ye, see the works of Jehovah, Who hath done astonishing things in the earth,
Psalm 46:9	Causing wars to cease, Unto the end of the earth, the bow he shivereth, And the spear He hath cut asunder, Chariots he doth burn with fire.
Psalm 46:10	Desist, and know that I am God, I am exalted among nations, I am exalted in the earth.
Psalm 46:11	Jehovah of hosts is with us, A tower for us is the God of Jacob! Selah.
Psalm 47:1	To the Overseer.—By sons of Korah. A Psalm. All ye peoples, clap the hand, Shout to God with a voice of singing,
Psalm 47:2	For Jehovah Most High is fearful, A great king over all the earth.
Psalm 47:3	He leadeth peoples under us, and nations under our feet.
Psalm 47:4	He doth choose for us our inheritance, The excellency of Jacob that He loves. Selah.
Psalm 47:5	God hath gone up with a shout, Jehovah with the sound of a trumpet.
Psalm 47:6	Praise God—praise—give praise to our king, praise.
Psalm 47:7	For king of all the earth is God, Give praise, O understanding one.
Psalm 47:8	God hath reigned over nations, God hath sat on His holy throne,
Psalm 47:9	Nobles of peoples have been gathered, With the people of the God of Abraham, For to God are the shields of earth, Greatly hath He been exalted!
Psalm 48:1	A Song, a Psalm, by sons of Korah. Great is Jehovah, and praised greatly, In the city of our God—His holy hill.
Psalm 48:2	Beautiful for elevation, A joy of all the land, is Mount Zion, The sides of the north, the city of a great king.
Psalm 48:3	God in her high places is known for a tower.
Psalm 48:4	For, lo, the kings met, they passed by together,
Psalm 48:5	They have seen—so they have marvelled, They have been troubled, they were hastened away.
Psalm 48:6	Trembling hath seized them there, Pain, as of a travailing woman.
Psalm 48:7	By an east wind Thou shiverest ships of Tarshish.
Psalm 48:8	As we have heard, so we have seen, In the city of Jehovah of hosts, In the city of our God, God doth establish her—to the age. Selah.
Psalm 48:9	We have thought, O God, of Thy kindness, In the midst of Thy temple,
Psalm 48:10	As is Thy name, O God, so is Thy praise, Over the ends of the earth, Righteousness hath filled Thy right hand.
Psalm 48:11	Rejoice doth Mount Zion, The daughters of Judah are joyful, For the sake of Thy judgments.
Psalm 48:12	Compass Zion, and go round her, count her towers,
Psalm 48:13	Set your heart to her bulwark, Consider her high places, So that ye recount to a later generation,
Psalm 48:14	That this God is our God—To the age and for ever, He—he doth lead us over death!
Psalm 49:1	To the Overseer.—By sons of Korah. A Psalm. Hear this, all ye peoples, Give ear, all ye inhabitants of the world.
Psalm 49:2	Both low and high, together rich and needy.
Psalm 49:3	My mouth speaketh wise things, And the meditations of my heart are things of understanding.
Psalm 49:4	I incline to a simile mine ear, I open with a harp my riddle:
Psalm 49:5	Why do I fear in days of evil? The iniquity of my supplanters doth compass me.
Psalm 49:6	Those trusting on their wealth, And in the multitude of their riches, Do shew themselves foolish.
Psalm 49:7	A brother doth no one at all ransom, He doth not give to God his atonement.
Psalm 49:8	And precious is the redemption of their soul, And it hath ceased—to the age.
Psalm 49:9	And still he liveth for ever, He seeth not the pit.
Psalm 49:10	For he seeth wise men die, Together the foolish and brutish perish, And have left to others their wealth.
Psalm 49:11	Their heart is: Their houses are to the age, Their tabernacles to all generations. They proclaimed their names over the lands.
Psalm 49:12	And man in honour doth not remain, He hath been like the beasts, they have been cut off.
Psalm 49:13	This their way is folly for them, And their posterity with their sayings are pleased. Selah.
Psalm 49:14	As sheep for Sheol they have set themselves, Death doth afflict them, And the upright rule over them in the morning, And their form is for consumption. Sheol is a dwelling for him.
Psalm 49:15	Only, God doth ransom my soul from the hand of Sheol, For He doth receive me. Selah.
Psalm 49:16	Fear not, when one maketh wealth, When the honour of his house is abundant,
Psalm 49:17	For at his death he receiveth nothing, His honour goeth not down after him.
Psalm 49:18	For his soul in his life he blesseth, (And they praise thee when thou dost well for thyself.)
Psalm 49:19	It cometh to the generation of his fathers, For ever they see not the light.
Psalm 49:20	Man in honour, who understandest not, Hath been like the beasts, they have been cut off!
Psalm 50:1	A Psalm of Asaph. The God of gods—Jehovah—hath spoken, And He calleth to the earth From the rising of the sun unto its going in.
Psalm 50:2	From Zion, the perfection of beauty, God shone.
Psalm 50:3	Our God cometh, and is not silent, Fire before Him doth devour, And round about him it hath been very tempestuous.
Psalm 50:4	He doth call unto the heavens from above, And unto the earth, to judge His people.
Psalm 50:5	Gather ye to Me My saints, Making covenant with Me over a sacrifice.
Psalm 50:6	And the heavens declare His righteousness, For God Himself is judge. Selah.
Psalm 50:7	Hear, O My people, and I speak, O Israel, and I testify against thee, God, thy God am I.
Psalm 50:8	Not for thy sacrifices do I reprove thee, Yea, thy burnt-offerings Are before Me continually.
Psalm 50:9	I take not from thy house a bullock, From thy folds he goats.
Psalm 50:10	For Mine is every beast of the forest, The cattle on the hills of oxen.
Psalm 50:11	I have known every fowl of the mountains, And the wild beast of the field is with Me.
Psalm 50:12	If I am hungry I tell not to thee, For Mine is the world and its fulness.
Psalm 50:13	Do I eat the flesh of bulls, And drink the blood of he-goats?
Psalm 50:14	Sacrifice to God confession, And complete to the Most High thy vows.
Psalm 50:15	And call Me in a day of adversity, I deliver thee, and thou honourest Me.
Psalm 50:16	And to the wicked hath God said: What to thee—to recount My statutes? That thou liftest up My covenant on thy mouth?
Psalm 50:17	Yea, thou hast hated instruction, And dost cast My words behind thee.
Psalm 50:18	If thou hast seen a thief, Then thou art pleased with him, And with adulterers is thy portion.
Psalm 50:19	Thy mouth thou hast sent forth with evil, And thy tongue joineth deceit together,
Psalm 50:20	Thou sittest, against thy brother thou speakest, Against a son of thy mother givest slander.
Psalm 50:21	These thou didst, and I kept silent, Thou hast thought that I am like thee, I reprove thee, and set in array before thine eyes.
Psalm 50:22	Understand this, I pray you, Ye who are forgetting God, Lest I tear, and there is no deliverer.
Psalm 50:23	He who is sacrificing praise honoureth Me, As to him who maketh a way, I cause him to look on the salvation of God!
Psalm 51:1	To the Overseer.—A Psalm of David, in the coming in unto him of Nathan the prophet, when he hath gone in unto Bath-Sheba. Favour me, O God, according to Thy kindness, According to the abundance of Thy mercies, Blot out my transgressions.
Psalm 51:2	Thoroughly wash me from mine iniquity, And from my sin cleanse me,
Psalm 51:3	For my transgressions I do know, And my sin is before me continually.
Psalm 51:4	Against Thee, Thee only, I have sinned, And done the evil thing in Thine eyes, So that Thou art righteous in Thy words, Thou art pure in Thy judging.
Psalm 51:5	Lo, in iniquity I have been brought forth, And in sin doth my mother conceive me.
Psalm 51:6	Lo, truth Thou hast desired in the inward parts, And in the hidden part Wisdom Thou causest me to know.
Psalm 51:7	Thou cleansest me with hyssop and I am clean, Washest me, and than snow I am whiter.
Psalm 51:8	Thou causest me to hear joy and gladness, Thou makest joyful bones Thou hast bruised.
Psalm 51:9	Hide Thy face from my sin. And all mine iniquities blot out.
Psalm 51:10	A clean heart prepare for me, O God, And a right spirit renew within me.
Psalm 51:11	Cast me not forth from Thy presence, And Thy Holy Spirit take not from me.
Psalm 51:12	Restore to me the joy of Thy salvation, And a willing spirit doth sustain me.
Psalm 51:13	I teach transgressors Thy ways, And sinners unto Thee do return.
Psalm 51:14	Deliver me from blood, O God, God of my salvation, My tongue singeth of Thy righteousness.
Psalm 51:15	O Lord, my lips thou dost open, And my mouth declareth Thy praise.
Psalm 51:16	For Thou desirest not sacrifice, or I give it, Burnt-offering Thou acceptest not.
